Majority protein IDs	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12	sample 13	sample 15	sample 16	sample 17	sample 18	sample 19	sample 20
Q80X85	26.55	26.267	26.593	26.651	26.632	26.496	26.872	26.426	26.532	26.802	26.547	26.62	26.889	26.894	26.751
Q80X90	28.464	28.677	25.542	29.372	26.391	28.85	NA	29.393	28.977	24.668	29.566	28.765	28.839	25.097	29.355
Q80X95;Q6NTA4	27.962	28.432	28.385	28.373	28.237	28.19	27.92	28.191	28.072	28.029	28.173	28.122	27.862	27.975	28.588
Q80X98	28.582	28.753	28.58	28.681	28.542	28.712	28.336	28.739	28.822	28.56	28.856	28.682	28.867	28.601	28.64
Q80XC2	25.475	26.889	27.871	27.453	26.969	27.436	27.72	27.544	26.363	27.845	27.636	26.525	26.731	27.533	26.919
Q80XC6	25.576	25.526	25.475	25.24	25.25	25.511	25.307	NA	24.835	25.6	25.807	25.791	25.715	25.722	26.094
Q80XH1	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.365	24.535	23.368	23.523	24.342	23.567
Q80XI3-2;Q80XI3-4;Q80XI3;Q80XI3-3	28.246	28.008	28.089	28.076	28.233	28.164	28.158	28.077	28.355	28.055	27.894	28.284	28.31	28.255	28.014
Q80XI4	29.076	28.999	29.956	28.936	29.296	28.936	29.844	29.101	28.674	29.48	28.738	28.838	28.911	29.896	28.696
Q80XI6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.202	NA	NA
Q80XJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.57	NA	NA	NA	NA	NA
Q80XJ3	NA	NA	20.626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q80XK6	26.156	26.744	26.505	26.687	25.032	26.454	26.296	25.895	26.101	26.244	26.388	27.026	26.595	26.833	26.521
Q80XL6	23.48	23.147	23.293	NA	NA	NA	23.435	NA	NA	23.864	NA	NA	23.239	23.396	23.323
Q80XL7-2;Q80XL7;Q80XL7-3	NA	NA	24.935	NA	NA	24.192	NA	NA	NA	25.342	24.91	24.347	24.054	24.59	24.454
Q80XN0	28.53	27.86	27.901	25.554	28.352	27.545	27.475	23.774	28.851	27.943	26.226	28.784	28.194	28.382	26.029
Q80XP8	28.058	27.951	26.925	27.864	27.634	27.726	27.029	27.692	27.732	27.149	27.665	28.039	27.998	27.143	28.287
Q80XQ2	26.966	27.349	28.363	27.769	26.978	27.347	28.2	27.77	25.779	28.159	27.848	27.12	27.598	28.222	28.052
Q80XQ8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.927
Q80XR2	26.005	25.846	26.017	25.443	25.242	25.379	25.535	25.568	26.034	26.061	25.92	26.312	26.118	26.418	26.249
Q80XS6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.215	23.564	NA	NA	NA
Q80XU3	30.862	30.575	30.208	30.079	30.315	30.216	30.284	30.372	30.532	30.023	30.219	30.584	30.513	30.402	30.593
Q80Y14	25.587	24.742	25.444	25.208	24.602	26.382	25.92	25.575	25.516	25.994	25.544	24.646	25.33	25.691	25.107
Q80Y17	25.313	24.959	25.418	NA	NA	NA	25.175	NA	24.784	24.892	24.911	25.763	25.005	25.152	24.821
Q80Y19	NA	23.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q80Y20-2;Q80Y20	NA	NA	NA	NA	NA	NA	NA	NA	24.421	NA	NA	24.09	24.037	NA	NA
Q80Y32	25.851	25.681	25.213	25.604	25.981	25.682	25.609	25.979	26.187	25.704	26.05	25.459	26.24	25.799	26.148
Q80Y44	26.217	27.061	27.629	27.406	26.966	27.213	27.476	27.108	26.623	28.007	27.5	26.991	27.585	27.877	27.769
Q80Y55	25.314	25.569	25.417	25.587	25.173	25.56	25.548	25.861	25.798	25.195	25.617	25.789	25.581	25.158	25.3
Q80Y56	NA	24.505	24.368	NA	NA	24.33	NA	NA	NA	24.111	24.487	24.315	24.335	24.101	24.454
Q80Y81-2;Q80Y81	28.335	28.58	29.355	28.594	28.84	28.647	29.24	28.672	28.465	29.291	28.881	28.495	28.654	29.155	28.44
Q80Y84-2;Q80Y84	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.479	23.658	23.882	23.572	23.142	23.178
Q80Y98;Q80Y98-2;Q80Y98-3	NA	NA	NA	NA	22.184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q80YA7	26.432	26.055	26.182	NA	NA	25.937	NA	NA	26.316	25.749	25.717	25.63	24.446	25.793	25.584
Q80YD1	27.538	27.727	28.381	27.791	27.365	27.707	28.229	27.59	27.509	28.127	27.761	27.216	27.549	28.324	27.97
Q80YD6	NA	NA	25.057	24.644	NA	23.827	24.847	24.12	NA	25.262	24.459	23.981	24.035	25.053	24.756
Q80YQ2-2;Q80YQ2	27.511	27.46	27.348	27.252	27.782	27.571	27.283	27.373	27.662	27.382	27.496	27.632	27.443	27.366	27.204
Q80YQ8	25.455	25.369	25.311	24.896	25.24	24.974	25.072	25.202	25.094	25.818	25.42	25.689	25.345	25.241	25.128
Q80YR4-2;Q80YR4-3;Q80YR4	24.854	NA	24.783	24.978	NA	24.294	NA	NA	24.714	24.494	25.012	24.949	24.905	24.521	25.03
Q80YR5	30.66	30.651	30.396	30.429	30.512	30.473	30.388	30.22	30.608	30.687	30.487	30.699	30.713	30.437	30.897
Q80YR9	NA	NA	NA	NA	27.118	NA	NA	NA	NA	26.878	26.943	27.284	27.19	NA	NA
Q80YV2;Q80YV2-2	27.726	27.644	27.273	27.217	27.768	27.446	27.487	27.334	27.27	27.334	27.253	27.541	27.734	27.452	27.302
Q80YV3	29.681	29.7	29.605	29.749	29.637	29.831	29.6	29.778	29.686	29.576	29.618	29.705	29.767	29.701	29.612
Q80YV4-2;Q80YV4;Q80YV4-3	27.345	27.414	27.307	27.04	27.286	27.281	26.929	27.348	26.901	27.12	27.172	26.953	27.11	26.991	26.973
Q80YW0	25.984	25.947	26.303	26.068	26.334	25.75	25.913	25.916	26.3	26.165	26.116	26.607	26.208	26.321	26.095
Q80Z25	NA	NA	23.468	23.502	NA	NA	NA	NA	NA	NA	24.753	25.953	25.338	24.421	25.926
Q80Z37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.844	NA	NA
Q80Z96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.141
Q80ZD3-2;Q80ZD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.344
Q80ZE3	28.228	27.955	27.83	27.671	28.039	27.934	27.51	27.572	28.334	27.745	27.832	28.537	28.191	28.107	27.927
Q80ZJ6;Q80ZJ6-2;Q80ZJ6-3	24.815	24.689	24.696	24.407	25.377	24.466	24.475	24.949	24.883	25.145	24.885	25.571	25.331	25.14	24.448
Q80ZK0	26.729	26.185	26.196	25.674	25.683	25.727	26.145	25.222	25.542	26.489	26.546	26.237	25.419	26.209	25.741
Q80ZK9	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.063	NA	NA	NA	NA	NA
Q80ZM5	26.151	25.853	NA	NA	25.975	NA	NA	NA	NA	NA	NA	26.453	25.904	NA	NA
Q80ZM7	26.701	26.03	26.335	26.172	26.543	26.397	26.806	26.761	26.607	26.134	NA	26.081	25.969	26.183	26.585
Q80ZQ9	26.977	26.92	27.155	26.444	27.192	26.847	27.193	26.484	27.179	27.357	26.827	26.976	27.219	27.324	26.672
Q80ZS3	27.076	27.033	27.079	26.984	27.196	26.95	27.082	26.829	27.037	26.806	26.883	26.907	27.091	27.094	26.773
Q80ZU0	25.792	25.347	25.372	24.61	26.441	25.261	25.464	24.335	26.137	24.847	24.093	25.996	25.255	24.74	NA
Q80ZV0	28.656	28.29	27.242	27.454	28.692	28.234	27.41	27.422	28.529	27.786	27.39	28.89	28.019	27.36	27.595
Q80ZW2	29.186	29.303	28.911	28.35	28.829	29.051	28.934	27.87	28.892	29.341	28.607	29.179	29.351	29.058	28.533
Q80ZX0;F6VJC5	28.141	28.168	28.094	28.431	28.135	28.241	27.918	28.34	28.312	28.006	28.574	28.446	28.602	28.103	28.586
Q810A3	26.635	26.547	26.405	26.191	26.517	26.516	26.259	NA	26.227	25.678	24.887	25.114	25.686	25.319	NA
Q810A7;Q810A7-2	29.948	30.139	30.338	29.963	29.976	30.064	30.27	30.036	30.196	30.444	30.126	30.249	30.3	30.396	30.252
Q810B6	29.791	30.061	29.781	30.266	29.748	29.982	29.54	30.152	29.844	29.645	30.256	29.788	29.853	29.525	30.133
Q810D6	26.959	26.816	27.188	26.667	26.727	27.008	26.585	26.526	26.707	27.16	27.301	27.105	27.023	27.227	26.795
Q810J8	25.091	24.732	24.64	24.308	24.853	NA	NA	NA	25.095	24.369	NA	24.868	NA	NA	24.441
Q810L3-2;Q810L3;Q810L3-3;Q810L3-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.854	NA	NA	NA
Q810L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.272	NA	NA	NA	NA	NA
Q810U5-3;Q810U5;Q810U5-2	26.324	27.84	27.78	28.372	27.543	28.084	27.511	28.145	27.542	27.816	28.189	27.421	27.829	27.409	28.141
Q810V0	26.793	26.987	28.054	27.341	27.304	27.414	28.035	27.455	27.239	28.249	27.827	26.928	27.729	28.481	27.714
Q811B5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.306	24.062	23.659	NA
Q811D0-2;Q811D0-3;Q811D0	25.39	25.718	26.008	25.313	25.899	25.368	24.49	25.368	25.774	25.249	25.263	25.86	25.3	25.661	25.495
Q811D2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.406	NA	NA
Q811I0	NA	25.23	25.487	25.522	NA	25.303	25.67	NA	NA	25.383	25.58	25.441	25.105	25.558	NA
Q811J3	NA	NA	NA	23.521	NA	23.155	23.303	24.06	NA	23.352	23.902	23.187	NA	23.611	23.177
Q811L6	NA	NA	28.031	26.72	NA	25.958	27.065	26.183	26.164	27.861	26.731	26.78	26.851	27.648	27.185
Q811M1;Q811M1-2	28.294	28.717	28.761	28.631	27.979	28.529	28.129	28.55	28.422	28.397	28.96	28.524	28.598	28.397	28.511
Q811S7;Q811S7-2	26.66	26.824	26.802	26.884	26.508	26.916	26.734	26.784	26.981	27.039	26.499	26.471	26.635	26.447	26.744
Q811U4	25.702	24.414	25.041	25.341	25.339	25.008	25.626	25.362	26.105	25.487	25.842	26.372	26.138	25.696	25.934
Q812A5-2;Q812A5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.297	NA	22.962
Q812G0-2;Q812G0	NA	NA	21.409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BFP9	24.083	26.649	28.46	27.528	NA	26.453	27.914	27.43	24.463	28.308	27.942	26.402	27.326	28.574	27.712
Q8BFQ2	NA	NA	NA	NA	24.929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BFQ4	29.423	29.403	29.655	29.452	29.089	29.373	29.009	29.128	29.262	29.643	29.831	29.438	29.463	29.527	29.834
Q8BFQ8	27.616	28.034	28.327	28.374	28.042	28.124	28.446	28.431	27.998	28.416	28.234	28.16	28.29	28.496	28.299
Q8BFQ9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.239	NA	NA
Q8BFR4	27.894	27.772	28.32	27.629	27.697	27.48	27.982	27.43	27.696	28.182	27.741	27.79	27.799	28.615	27.861
Q8BFR5;Q8BFR5-2	32.249	32.402	32.811	32.612	32.258	32.206	32.812	32.701	32.397	32.915	32.705	32.511	32.669	33.013	32.792
Q8BFR6	25.655	25.299	26.28	25.602	24.902	25.409	25.738	25.537	NA	25.5	25.095	25.439	NA	25.08	NA
Q8BFS6-5;Q8BFS6-2;Q8BFS6;Q8BFS6-4	NA	NA	22.128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BFS9;Q8BFS9-2	25.588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.176	NA	NA	NA
Q8BFT2	23.883	23.905	23.891	24.182	24.144	23.699	23.634	NA	24.319	23.197	24.531	23.579	NA	23.263	24.782
Q8BFU3-5;Q8BFU3;Q8BFU3-2;Q8BFU3-4;Q8BFU3-3	NA	24.977	24.477	24.393	NA	24.715	NA	NA	24.334	24.463	NA	24.987	24.647	24.587	24.236
Q8BFU7	NA	NA	NA	24.017	NA	NA	NA	NA	NA	NA	24.153	NA	NA	NA	NA
Q8BFV2	27.608	27.713	27.889	27.806	27.714	27.755	27.932	27.82	27.907	27.865	27.935	27.574	27.778	27.807	27.825
Q8BFW4;Q8BFW4-2	27.086	27.135	27.672	27.038	27.095	27.292	27.467	27.398	27.398	27.431	27.596	27.329	27.431	27.667	27.284
Q8BFW7;Q8BFW7-4;Q8BFW7-5	24.402	25.177	24	24.668	NA	24.784	NA	NA	25.293	25.001	25.461	26.13	25.629	25.021	25.55
Q8BFY6	26.167	26.029	26.069	26.086	25.856	26.499	26.077	26.385	26.049	25.958	25.936	25.122	25.829	25.524	24.795
Q8BFY9-2;Q8BFY9	30.065	30.291	30.611	30.111	30.175	30.341	30.463	30.26	30.186	30.571	30.19	30.247	30.288	30.621	30.017
Q8BFZ3	NA	NA	NA	NA	27.5	NA	NA	NA	NA	NA	25.415	28.105	NA	25.59	NA
Q8BFZ9	28.546	28.426	28.406	28.934	28.298	28.592	28.127	28.88	28.584	28.641	29.079	28.641	29.216	28.744	29.119
Q8BG05	34.407	34.748	34.545	34.822	34.647	34.861	34.389	34.888	34.243	34.305	34.458	34.026	34.037	34.184	34.119
Q8BG05-2	30.853	30.827	30.569	31.126	30.928	30.909	30.736	30.997	30.272	30.673	30.586	31.909	31.65	31.348	32.165
Q8BG07-2;Q8BG07	29.701	29.626	29.872	28.604	29.756	29.346	29.51	28.49	29.547	29.959	28.864	30.247	29.83	30.116	28.861
Q8BG09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.312	NA	NA	NA	NA
Q8BG15;Q8BG15-2;Q8BG15-6;Q8BG15-3;Q8BG15-5;Q8BG15-4	27.254	27.167	26.41	27.228	27.13	27.187	26.652	26.964	27.315	26.867	27.148	27.67	27.597	27.022	27.691
Q8BG17	25.351	25.758	25.884	26.55	25.716	25.911	25.218	26.5	25.823	26.111	26.834	26.098	26.377	25.903	26.543
Q8BG21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.321	NA	NA	NA
Q8BG26-2;Q8BG26;Q8BG26-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.227
Q8BG30	28.632	28.632	28.56	28.538	28.538	28.279	28.699	28.291	28.423	28.556	28.427	28.658	28.561	28.514	28.599
Q8BG32	31.409	31.228	31.196	31.124	31.157	31.132	31.25	31.007	31.49	31.383	31.226	31.643	31.39	31.491	31.205
Q8BG40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.804	24.53	23.851	23.959	NA
Q8BG48	27.462	28.417	27.857	28.564	27.745	28.295	28.333	28.866	28.084	28.28	28.949	27.68	28.792	28.198	28.643
Q8BG51-3;Q8BG51-4	28.048	27.432	27.655	27.605	27.52	27.78	27.834	27.626	27.732	27.705	27.672	28.252	28.081	27.859	27.931
Q8BG55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.56	NA	NA	NA	23.896
Q8BG60;Q8BG60-2	24.973	24.45	NA	24.466	24.349	NA	24.86	NA	24.485	23.595	NA	24.753	24.604	NA	24.068
Q8BG67;Q8BG67-2	27.358	27.267	27.195	27.525	26.964	27.566	27.228	27.515	27.294	26.955	27.546	27.229	27.401	27.165	27.314
Q8BG71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.028
Q8BG79;Q8BG79-2	25.805	26.005	26.155	25.785	25.833	26.037	25.939	25.334	26.333	26.494	26.256	26.474	26.789	26.774	26.663
Q8BG80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.754	NA	NA	NA	22.595
Q8BG81	30.274	30.19	29.916	30.021	29.998	29.997	29.99	30.042	30.167	30.246	30.199	30.498	30.544	30.283	30.65
Q8BG87-4;Q8BG87;Q8BG87-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.094	NA	NA	NA
Q8BG93	NA	25.483	26.312	25.892	25.424	25.177	26.136	26.009	NA	26.291	25.778	24.607	NA	25.476	25.001
Q8BG94	NA	NA	24.705	25.019	NA	24.5	25.212	25.621	25.053	25.9	25.782	24.892	25.478	25.337	26.003
Q8BGA5	27.905	27.965	28.468	28.401	27.961	28.092	28.521	28.404	27.965	28.732	28.589	27.984	28.101	28.715	28.616
Q8BGA7	24.56	24.88	25.529	24.738	24.844	25.243	25.693	25.257	24.28	25.129	25.145	24.939	25.362	25.772	24.241
Q8BGA9	26.219	25.63	25.854	NA	25.577	25.975	25.842	NA	25.615	25.752	25.466	26.254	26.069	25.868	26.165
Q8BGB2	25.441	25.784	25.9	25.833	25.054	26.214	25.94	25.89	25.729	25.804	26.224	25.688	26.124	25.767	25.218
Q8BGB5	29.294	29.693	29.221	29.404	28.922	29.451	28.889	29.498	28.216	28.23	29.201	28.937	29.648	28.949	29.573
Q8BGB7;Q8BGB7-2	26.179	26.581	27.281	26.696	26.941	26.729	27.496	27.042	26.553	27.33	27.409	26.828	26.631	27.481	26.99
Q8BGB8	NA	NA	25.361	NA	NA	NA	25.808	NA	NA	26.254	24.777	24.67	24.888	25.631	NA
Q8BGC0	29.306	29.142	28.939	29.094	29.137	29.065	28.925	29.09	29.087	28.917	28.837	29.125	29.073	28.951	29.027
Q8BGC1;Q8BGC1-2	24.475	NA	25.217	NA	NA	NA	24.754	NA	NA	25.11	24.155	24.688	NA	25.35	25.068
Q8BGC4	27.771	28.52	28.945	29.141	27.868	28.573	28.948	29.008	27.708	28.904	29.109	28.107	28.656	29.16	29.057
Q8BGD6	NA	NA	23.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BGD8	24.624	NA	24.93	NA	NA	NA	24.87	NA	24.976	25.235	NA	24.691	24.774	25.328	24.965
Q8BGD9	30.063	30.031	29.946	29.786	29.808	29.865	29.948	29.77	30.189	29.813	29.729	29.801	29.783	29.925	29.992
Q8BGE6	26.343	26.504	26.907	26.465	26.598	26.458	26.635	26.851	26.602	26.536	26.659	26.294	26.586	26.711	26.55
Q8BGF3	25.847	25.833	25.718	25.849	25.949	25.897	26.103	25.503	25.953	26.001	25.692	26.041	25.495	25.604	25.594
Q8BGF6	25.249	24.798	24.499	NA	25.131	24.527	NA	NA	25.048	23.979	24.576	25.258	25.141	NA	NA
Q8BGF7-4;Q8BGF7;Q8BGF7-2;Q8BGF7-3	25.589	25.731	25.612	25.739	25.668	25.899	25.319	25.848	25.509	25.254	25.464	25.756	25.822	25.574	25.361
Q8BGF9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.446	23.585	NA	NA
Q8BGG6	NA	NA	NA	NA	22.063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BGG7;Q8BGG7-2	NA	NA	24.466	NA	NA	NA	NA	NA	NA	24.269	24.273	NA	NA	24.068	NA
Q8BGH2	29.918	29.984	30.189	29.808	29.789	29.841	30.045	29.794	29.923	30.135	29.809	29.812	29.878	30.311	29.803
Q8BGH7	NA	NA	NA	25.368	NA	NA	25.205	NA	NA	25.478	25.917	NA	NA	25.402	NA
Q8BGJ9;Q8BGJ9-2;Q8BGJ9-3	NA	25.198	25.585	25.002	NA	NA	NA	NA	NA	25.7	25.422	NA	NA	NA	NA
Q8BGK6;Q8BGK6-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.556	24.259	NA	22.584
Q8BGN2;Q8BGN2-2	NA	NA	25.438	24.575	NA	NA	25.063	NA	NA	25.391	24.627	NA	NA	25.241	24.993
Q8BGP6;Q8BGP6-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.822	NA	NA	23.788	24.113	23.283
Q8BGQ1;Q8BGQ1-2	27.318	27.426	27.608	27.534	27.32	27.426	27.642	27.543	27.028	27.498	27.301	27.075	27.272	27.417	27.363
Q8BGQ7	30.271	29.918	30.117	29.802	30.059	29.799	29.788	29.691	30.018	29.909	29.659	30.061	29.556	29.838	29.797
Q8BGR6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.178
Q8BGR9	29.665	30.112	30.573	30.635	29.732	30.148	30.72	30.778	29.734	30.879	30.739	29.761	30.41	30.625	30.735
Q8BGS0-2;Q8BGS0	26.237	26.654	27.292	26.637	25.986	26.838	26.816	26.994	26.76	27.768	27.444	26.778	27.255	27.805	26.761
Q8BGS2;Q8BGS2-2	25.168	25.777	26.825	26.08	24.818	25.78	26.378	26.17	25.53	28.186	26.611	26.031	26.185	27.627	27.161
Q8BGS3-2;Q8BGS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.879	NA	NA
Q8BGS7-2;Q8BGS7	NA	NA	26.354	26.938	27.232	26.535	27.939	26.463	NA	27.566	26.867	26.234	25.69	27.441	26.105
Q8BGT0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.213	NA	23.866	23.756	23.392
Q8BGT6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.57
Q8BGT7	29.246	29.012	29.069	29.06	29.046	28.941	29.02	29.209	28.885	28.785	29.191	29.395	29.147	29.137	29.368
Q8BGT9	NA	NA	23.844	24.44	24.307	NA	24.844	NA	24.828	25.071	NA	25.171	24.844	25.689	25.406
Q8BGU5;Q8BGU5-2	24.457	24.829	25.398	24.901	24.196	24.663	24.988	25.542	25.229	25.506	25.861	24.927	25.407	25.625	25.135
Q8BGV0	NA	24.811	26.418	24.608	23.868	NA	26.442	NA	25.352	26.362	25.25	NA	25.5	26.534	25.124
Q8BGV4	NA	22.858	NA	23.314	NA	NA	NA	NA	NA	22.806	22.981	23.339	22.551	NA	NA
Q8BGV8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.07	23.917	NA	NA
Q8BGW1;Q8BGW1-2;Q8BGW1-3;Q8BGW1-4	27.266	27.509	27.522	27.407	27.327	27.265	27.463	27.534	27.405	27.595	27.31	27.692	27.689	27.634	27.3
Q8BGW5;Q8BGW5-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.986	22.51
Q8BGX0-3;Q8BGX0;Q8BGX0-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.274	NA	NA	NA	NA
Q8BGX1	24.331	24.139	24.745	NA	NA	23.944	23.967	NA	NA	24.08	24.051	23.563	23.935	24.089	NA
Q8BGX2	25.674	25.565	26.733	26.091	25.779	25.733	26.609	25.562	25.74	26.715	26.182	25.455	25.961	26.83	26.501
Q8BGX7-3;Q8BGX7-2;Q8BGX7	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.118	NA	NA	NA	NA	NA
Q8BGY2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.918	NA
Q8BGY7	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.306	NA	NA	NA	NA	NA
Q8BGZ2-2;Q8BGZ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.002	NA	23.55	23.137	23.005	NA
Q8BGZ4;Q8BGZ4-2	28.37	28.248	28.19	27.804	28.309	28.168	28.259	28.09	28.51	28.48	28.053	28.535	28.33	28.326	28.159
Q8BH02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.277	NA	NA
Q8BH04	29.921	29.957	30.196	30.494	29.806	29.897	30.073	30.494	30.154	30.308	30.877	30.269	30.398	30.378	30.644
Q8BH07	25.439	25.262	25.08	25.155	25.488	25.144	NA	25.143	25.737	24.902	25.11	25.403	25.682	24.753	25.727
Q8BH10	NA	22.301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BH15;Q8BH15-2;Q8BH15-3;Q8BH15-4	27.588	27.367	26.87	26.866	27.56	27.225	26.879	27.169	27.676	26.839	27.19	27.467	27.382	27.052	27.244
Q8BH24	27.401	27.129	26.696	26.986	27.206	27.376	26.777	27.157	27.15	26.854	27.159	27.537	27.325	27.06	27.192
Q8BH43	28.943	29.067	29.032	28.851	28.922	28.899	29.083	28.816	28.912	29.099	28.827	28.789	29.073	28.921	29.271
Q8BH47	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.282	NA	NA	NA	23.737	23.23
Q8BH48-2;Q8BH48	NA	25.572	25.902	26.19	NA	25.768	26.262	26.147	26.47	26.176	26.026	26.559	26.64	26.63	26.683
Q8BH50-2;Q8BH50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.099
Q8BH55	NA	NA	25.057	23.31	NA	NA	24.287	NA	NA	24.102	24.336	NA	NA	24.811	23.856
Q8BH57;Q8BH57-2;Q8BH57-3	26.815	25.921	25.665	25.847	26.074	26.142	25.109	26.035	26.666	26.017	26.437	26.828	26.245	25.868	26.189
Q8BH58	28.431	28.27	28.442	28.518	28.26	28.345	28.402	28.317	28.317	28.777	28.402	28.318	28.588	28.833	28.457
Q8BH59	30.341	30.818	31.567	31.261	30.242	30.631	31.438	31.211	30.432	31.744	31.551	30.456	31.129	31.811	31.503
Q8BH60-2;Q8BH60	26.515	26.618	26.251	26.98	26.421	26.534	25.597	26.949	26.534	26.105	26.837	26.271	26.517	26.279	26.684
Q8BH61	23.816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8BH64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.099	NA	NA	NA
Q8BH65;Q8BH65-2;Q8BH65-3	24.454	24.867	25.365	25.468	24.657	24.765	25.111	25.601	25.086	25.339	25.521	25.539	25.777	25.859	26.05
Q8BH69	29.187	29.219	29.688	29.332	29.126	29.474	29.5	29.559	29.398	29.632	29.609	29.449	29.431	29.796	29.358
Q8BH73-2;Q8BH73	NA	NA	NA	NA	NA	NA	NA	NA	24.316	23.573	23.45	24.783	24.118	NA	NA
Q8BH74	29.593	29.27	28.953	28.976	29.195	29.291	29.036	28.807	29.292	29.182	29.097	29.402	29.447	29.151	29.164
Q8BH75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.254	NA
Q8BH79;Q8BH79-2;Q8BH79-4;Q8BH79-3	25.759	25.04	26.41	25.663	25.471	24.69	26.299	25.642	25.459	26.254	26.022	25.566	26.013	26.557	25.988
Q8BH86;Q8BH86-2	24.66	24.414	29.504	27.057	NA	25.956	29.451	27.008	24.699	29.519	26.83	25.324	26.595	29.764	27.596
Q8BH95	29.086	29.177	29.89	29.644	28.991	28.947	29.75	29.365	29.013	29.836	29.833	29.254	29.555	30.086	30.108
Q8BH97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.236	NA	NA
Q8BHA0	25.952	25.582	25.703	25.482	25.915	25.835	25.581	25.873	25.828	25.9	25.895	25.82	26.131	25.988	25.462
Q8BHA3;Q8BHA3-2	NA	NA	25.199	NA	NA	NA	25.136	25.06	NA	25.578	24.87	25.488	24.862	25.58	24.709
Q8BHB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.538	24.392	NA	23.79	24.294	25.196
Q8BHB4	27.87	28.248	29.096	28.305	28.035	28.44	29.002	28.466	28.025	29.236	28.648	27.698	28.278	29.01	28.231
Q8BHB9;Q8BXK9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.388
