ENSP00000354687	YP_003024026	P03886	ENST00000361390
ENSP00000395461	NP_001381491	C9JJ37	ENST00000450269
ENSP00000395461	NP_001130009	C9JJ37	ENST00000450269
ENSP00000361508	NP_006218	P55058	ENST00000372431
ENSP00000368027		Q96CV9	ENST00000378752
ENSP00000520683	NP_001381493		ENST00000718238
ENSP00000564664			ENST00000894605
ENSP00000425253			ENST00000506378
ENSP00000559551			ENST00000889492
ENSP00000434400			ENST00000534099
ENSP00000481473			ENST00000486862
ENSP00000591231			ENST00000921172
ENSP00000410162		C9JJ37	ENST00000439563
ENSP00000361497	NP_001229850	P55058	ENST00000372420
ENSP00000559552			ENST00000889494
ENSP00000400356			ENST00000424614
ENSP00000591232			ENST00000921173
ENSP00000559554			ENST00000889495
ENSP00000417138		P55058	ENST00000477313
ENSP00000537582			ENST00000867523
ENSP00000591233			ENST00000921174
ENSP00000559556			ENST00000889497
ENSP00000411671	NP_001229849	P55058	ENST00000420868
ENSP00000305426	NP_003311	P50607	ENST00000305253
ENSP00000559558			ENST00000889499
ENSP00000591234			ENST00000921175
ENSP00000537583			ENST00000867524
ENSP00000591235			ENST00000921176
ENSP00000537343			ENST00000867284
ENSP00000299506	NP_813977	P50607	ENST00000299506
ENSP00000559559			ENST00000889500
ENSP00000274811	NP_055716	Q7L0R7	ENST00000274811
ENSP00000589607			ENST00000919548
ENSP00000537584			ENST00000867525
ENSP00000591236			ENST00000921177
ENSP00000537344			ENST00000867285
ENSP00000537345			ENST00000867286
ENSP00000537585			ENST00000867526
ENSP00000559561			ENST00000889502
ENSP00000427604			ENST00000513029
ENSP00000537346			ENST00000867287
ENSP00000615767			ENST00000945708
ENSP00000559563			ENST00000889504
ENSP00000537586			ENST00000867527
ENSP00000537347			ENST00000867288
ENSP00000559564			ENST00000889505
ENSP00000537587	NP_001008214		ENST00000867528
ENSP00000424699			ENST00000504160
ENSP00000537348			ENST00000867289
ENSP00000559565			ENST00000889506
ENSP00000366901	NP_037432	Q8WUB2	ENST00000377673
ENSP00000574990			ENST00000904931
ENSP00000537588			ENST00000867529
ENSP00000602790			ENST00000932731
ENSP00000559566			ENST00000889507
ENSP00000537589			ENST00000867530
ENSP00000574991			ENST00000904932
ENSP00000559567			ENST00000889508
ENSP00000574992			ENST00000904933
ENSP00000566564			ENST00000896505
ENSP00000602791			ENST00000932732
ENSP00000537590			ENST00000867531
ENSP00000559568			ENST00000889509
ENSP00000574993			ENST00000904934
ENSP00000566565			ENST00000896506
ENSP00000602792			ENST00000932733
ENSP00000566566			ENST00000896507
ENSP00000602793			ENST00000932734
ENSP00000537591			ENST00000867532
ENSP00000559569			ENST00000889510
ENSP00000574994			ENST00000904935
ENSP00000589078			ENST00000919019
ENSP00000602794			ENST00000932735
ENSP00000589079			ENST00000919020
ENSP00000574995			ENST00000904936
ENSP00000537592			ENST00000867533
ENSP00000416289	NP_872358	A2RRH5	ENST00000448612
ENSP00000489890	NP_001182119	A0A1B0GTY4	ENST00000417563
ENSP00000602795			ENST00000932736
ENSP00000559570			ENST00000889511
ENSP00000574996			ENST00000904937
ENSP00000589080			ENST00000919021
ENSP00000589081			ENST00000919022
ENSP00000537593			ENST00000867534
ENSP00000520975			ENST00000850900
ENSP00000609450			ENST00000939391
ENSP00000559571			ENST00000889512
ENSP00000628243			ENST00000958184
ENSP00000537594			ENST00000867535
ENSP00000609451			ENST00000939392
ENSP00000366240	NP_057098	Q5VST6	ENST00000377041
ENSP00000609452			ENST00000939393
ENSP00000559572			ENST00000889513
ENSP00000628244			ENST00000958185
ENSP00000537595			ENST00000867536
ENSP00000559573			ENST00000889514
ENSP00000609453			ENST00000939394
ENSP00000628245			ENST00000958186
ENSP00000537596			ENST00000867537
ENSP00000330222	NP_001020951	Q5VST6	ENST00000333421
ENSP00000628246			ENST00000958187
ENSP00000595378			ENST00000925319
ENSP00000496961			ENST00000648472
ENSP00000628247			ENST00000958188
ENSP00000537597			ENST00000867538
ENSP00000595379			ENST00000925320
ENSP00000530647			ENST00000860588
ENSP00000628248			ENST00000958189
ENSP00000537598			ENST00000867539
ENSP00000530648			ENST00000860589
ENSP00000397869	NP_001337552	A2RRH5	ENST00000423258
ENSP00000397869	NP_001189479	A2RRH5	ENST00000423258
ENSP00000537599			ENST00000867540
ENSP00000595380			ENST00000925321
ENSP00000628249			ENST00000958190
ENSP00000530649			ENST00000860590
ENSP00000530650			ENST00000860591
ENSP00000537600			ENST00000867541
ENSP00000595381			ENST00000925322
ENSP00000530651			ENST00000860592
ENSP00000498206			ENST00000647790
ENSP00000595382			ENST00000925323
ENSP00000537601			ENST00000867542
ENSP00000530652			ENST00000860593
ENSP00000530653			ENST00000860594
ENSP00000537602			ENST00000867543
ENSP00000595383			ENST00000925324
ENSP00000537603			ENST00000867544
ENSP00000530654			ENST00000860595
ENSP00000595384			ENST00000925325
ENSP00000411915			ENST00000441385
ENSP00000420753			ENST00000491418
ENSP00000537604			ENST00000867545
ENSP00000530655			ENST00000860596
ENSP00000595385			ENST00000925326
ENSP00000530656			ENST00000860597
ENSP00000465039	NP_009112	Q92918	ENST00000591517
ENSP00000497692	NP_001337554		ENST00000647873
ENSP00000497692	NP_001337553		ENST00000647873
ENSP00000417754			ENST00000475977
ENSP00000595386			ENST00000925327
ENSP00000530657			ENST00000860598
ENSP00000537605			ENST00000867546
ENSP00000530658			ENST00000860599
ENSP00000595387			ENST00000925328
ENSP00000497180			ENST00000649303
ENSP00000537606			ENST00000867547
ENSP00000530659			ENST00000860600
ENSP00000595388			ENST00000925329
ENSP00000537607			ENST00000867548
ENSP00000380066	NP_001036065	Q92918	ENST00000396857
ENSP00000497364			ENST00000647889
ENSP00000595389			ENST00000925330
ENSP00000537608			ENST00000867549
ENSP00000600743			ENST00000930684
ENSP00000600744			ENST00000930685
ENSP00000537609			ENST00000867550
ENSP00000595390			ENST00000925331
ENSP00000497622			ENST00000648017
ENSP00000465774			ENST00000586296
ENSP00000537610			ENST00000867551
ENSP00000600745			ENST00000930686
ENSP00000595391			ENST00000925332
ENSP00000335612	NP_940948	Q7Z572	ENST00000335496
ENSP00000600746			ENST00000930687
ENSP00000468164			ENST00000589130
ENSP00000497675			ENST00000650296
ENSP00000537611			ENST00000867552
ENSP00000595392			ENST00000925333
ENSP00000600747			ENST00000930688
ENSP00000615768			ENST00000945709
ENSP00000537612			ENST00000867553
ENSP00000595393			ENST00000925334
ENSP00000440046	NP_001340278	Q7Z572	ENST00000540400
ENSP00000615769			ENST00000945710
ENSP00000537613			ENST00000867554
ENSP00000449696			ENST00000474018
ENSP00000465303			ENST00000591921
ENSP00000630034			ENST00000959975
ENSP00000615770			ENST00000945711
ENSP00000537614			ENST00000867555
ENSP00000567406			ENST00000897347
ENSP00000364727			ENST00000375577
ENSP00000615771			ENST00000945712
ENSP00000593636			ENST00000923577
ENSP00000483493			ENST00000612240
ENSP00000630035			ENST00000959976
ENSP00000537615			ENST00000867556
ENSP00000615772			ENST00000945713
ENSP00000630036			ENST00000959977
ENSP00000537616			ENST00000867557
ENSP00000479702			ENST00000618509
ENSP00000468396			ENST00000585583
ENSP00000630037			ENST00000959978
ENSP00000537617			ENST00000867558
ENSP00000357156	NP_001334627	O43866	ENST00000368174
ENSP00000357156	NP_005885	O43866	ENST00000368174
ENSP00000537618			ENST00000867559
ENSP00000630038			ENST00000959979
ENSP00000357857			ENST00000368864
ENSP00000537619			ENST00000867560
ENSP00000630039			ENST00000959980
ENSP00000630040			ENST00000959981
ENSP00000537620			ENST00000867561
ENSP00000630041			ENST00000959982
ENSP00000591540			ENST00000921481
ENSP00000591541			ENST00000921482
ENSP00000630042			ENST00000959983
ENSP00000612730			ENST00000942671
ENSP00000630043			ENST00000959984
ENSP00000336850	NP_942599	P20340	ENST00000336083
ENSP00000612731			ENST00000942672
ENSP00000630044			ENST00000959985
ENSP00000534569			ENST00000864510
ENSP00000612732			ENST00000942673
ENSP00000365907	NP_001294980		ENST00000376717
ENSP00000365907	NP_001294979		ENST00000376717
ENSP00000365907	NP_001294978		ENST00000376717
ENSP00000365907	NP_001317609		ENST00000376717
ENSP00000630045			ENST00000959986
ENSP00000534570			ENST00000864511
ENSP00000630046			ENST00000959987
ENSP00000612733			ENST00000942674
ENSP00000599986			ENST00000929927
ENSP00000612734			ENST00000942675
ENSP00000311449	NP_002860	P20340	ENST00000310653
ENSP00000402338	NP_115570	Q9H7B2	ENST00000441448
ENSP00000630047			ENST00000959988
ENSP00000612735			ENST00000942676
ENSP00000599987			ENST00000929928
ENSP00000443782	NP_001230648	P20340	ENST00000541973
ENSP00000476081			ENST00000607388
ENSP00000365908	NP_056040	Q8WUY3	ENST00000376718
ENSP00000630048			ENST00000959989
ENSP00000612736			ENST00000942677
ENSP00000414026			ENST00000425871
ENSP00000630049			ENST00000959990
ENSP00000555161			ENST00000885102
ENSP00000612737			ENST00000942678
ENSP00000555162			ENST00000885103
ENSP00000630050			ENST00000959991
ENSP00000612738			ENST00000942679
ENSP00000555163			ENST00000885104
ENSP00000612739			ENST00000942680
ENSP00000593671			ENST00000923612
ENSP00000397425			ENST00000428286
ENSP00000612740			ENST00000942681
ENSP00000593672	NP_001276040		ENST00000923613
ENSP00000393843	NP_001294977		ENST00000443509
ENSP00000393843	NP_001294976		ENST00000443509
ENSP00000612741			ENST00000942682
ENSP00000593673			ENST00000923614
ENSP00000593674			ENST00000923615
ENSP00000612742			ENST00000942683
ENSP00000437863			ENST00000536566
ENSP00000389706			ENST00000426088
ENSP00000612743			ENST00000942684
ENSP00000445350	NP_001230647	P20340	ENST00000541588
ENSP00000393657			ENST00000424866
ENSP00000612744			ENST00000942685
ENSP00000440469			ENST00000545625
ENSP00000438842			ENST00000540771
ENSP00000612745			ENST00000942686
ENSP00000443470			ENST00000537446
ENSP00000612746			ENST00000942687
ENSP00000365903			ENST00000376713
ENSP00000612747			ENST00000942688
ENSP00000612748			ENST00000942689
ENSP00000521696			ENST00000851637
ENSP00000612749			ENST00000942690
ENSP00000560403			ENST00000890344
ENSP00000521697			ENST00000851638
ENSP00000612750			ENST00000942691
ENSP00000615917			ENST00000945858
ENSP00000589685			ENST00000919626
ENSP00000612751			ENST00000942692
ENSP00000589686			ENST00000919627
ENSP00000612752			ENST00000942693
ENSP00000612753			ENST00000942694
ENSP00000612754			ENST00000942695
ENSP00000356186	NP_001129662	Q8IWV1	ENST00000367217
ENSP00000612755			ENST00000942696
ENSP00000612756			ENST00000942697
ENSP00000406970	NP_001269807	Q8IWV1	ENST00000442561
ENSP00000406970	NP_060243	Q8IWV1	ENST00000442561
ENSP00000612757			ENST00000942698
ENSP00000612758			ENST00000942699
ENSP00000612759			ENST00000942700
ENSP00000612760			ENST00000942701
ENSP00000612761			ENST00000942702
ENSP00000378748			ENST00000395339
ENSP00000612762			ENST00000942703
ENSP00000612763			ENST00000942704
ENSP00000612764			ENST00000942705
ENSP00000612765			ENST00000942706
ENSP00000612766			ENST00000942707
ENSP00000364016	NP_683720	P28062	ENST00000374882
ENSP00000612767			ENST00000942708
ENSP00000612768			ENST00000942709
ENSP00000364015	NP_004150	P28062	ENST00000374881
ENSP00000612769			ENST00000942710
ENSP00000612770			ENST00000942711
ENSP00000350924	NP_689820	Q3ZCV2	ENST00000358193
ENSP00000431800		O00303	ENST00000533626
ENSP00000434286			ENST00000531572
ENSP00000360320	NP_001104003	Q3ZCV2	ENST00000371273
ENSP00000593685			ENST00000923626
ENSP00000520459			ENST00000715514
ENSP00000520540			ENST00000715911
ENSP00000520542			ENST00000715913
ENSP00000520543			ENST00000715914
ENSP00000360315	NP_872338	Q8N0U2	ENST00000371268
ENSP00000357480	NP_612468	Q96E22	ENST00000368494
ENSP00000491198			ENST00000640290
ENSP00000262464	NP_001990	P35556	ENST00000262464
ENSP00000555122			ENST00000885063
ENSP00000593911			ENST00000923852
ENSP00000504201			ENST00000678993
ENSP00000509163	NP_291032	P20036	ENST00000692443
ENSP00000509163	NP_001391949	P20036	ENST00000692443
ENSP00000499218	NP_003745	O00303	ENST00000651655
ENSP00000503130			ENST00000677121
ENSP00000393566	NP_001229453	P20036	ENST00000419277
ENSP00000432489			ENST00000531329
ENSP00000504073			ENST00000678132
ENSP00000405500			ENST00000437811
ENSP00000390929			ENST00000453337
ENSP00000425596			ENST00000508989
ENSP00000398134			ENST00000417724
ENSP00000581016			ENST00000910957
ENSP00000589729			ENST00000919670
ENSP00000581017			ENST00000910958
ENSP00000589730			ENST00000919671
ENSP00000594002	NP_001229454		ENST00000923943
ENSP00000589731			ENST00000919672
ENSP00000589732			ENST00000919673
ENSP00000424571			ENST00000508053
ENSP00000385898	NP_997292	Q6UWE3	ENST00000403376
ENSP00000424753			ENST00000502468
ENSP00000353639	NP_001273479	Q6UWE3	ENST00000360454
ENSP00000594115			ENST00000924056
ENSP00000609463			ENST00000939404
ENSP00000479492	NP_001244030	Q86SE9	ENST00000614189
ENSP00000478158			ENST00000622332
ENSP00000445704	NP_001243478	Q86SE9	ENST00000543648
ENSP00000609464			ENST00000939405
ENSP00000337500	NP_115749	Q86SE9	ENST00000336126
ENSP00000361206	NP_060605	Q9NVS2	ENST00000372133
ENSP00000558265			ENST00000888206
ENSP00000361188	NP_001180272	Q9NVS2	ENST00000372116
ENSP00000558266			ENST00000888207
ENSP00000558267			ENST00000888208
ENSP00000398679			ENST00000427312
ENSP00000558268			ENST00000888209
ENSP00000506686			ENST00000680141
ENSP00000560980			ENST00000890921
ENSP00000558269			ENST00000888210
ENSP00000402084	NP_003381	P30291	ENST00000450114
ENSP00000560981			ENST00000890922
ENSP00000558270			ENST00000888211
ENSP00000560982			ENST00000890923
ENSP00000558271			ENST00000888212
ENSP00000299613	NP_001137448	P30291	ENST00000299613
ENSP00000594214			ENST00000924155
ENSP00000558272			ENST00000888213
ENSP00000468569			ENST00000592514
ENSP00000263245	NP_055385	Q9NP61	ENST00000263245
ENSP00000558273			ENST00000888214
ENSP00000465635			ENST00000591054
ENSP00000558274			ENST00000888215
ENSP00000506667		P30291	ENST00000681684
ENSP00000388791	NP_001135765	Q9NP61	ENST00000437119
ENSP00000306902	NP_666499	Q9BYD3	ENST00000307422
ENSP00000558275			ENST00000888216
ENSP00000434446			ENST00000524612
ENSP00000466050			ENST00000590150
ENSP00000403995			ENST00000453516
ENSP00000558276			ENST00000888217
ENSP00000220809	NP_000921	P00750	ENST00000220809
ENSP00000434148			ENST00000530712
ENSP00000558277			ENST00000888218
ENSP00000403520			ENST00000454099
ENSP00000435945			ENST00000530175
ENSP00000504824			ENST00000678083
ENSP00000558278			ENST00000888219
ENSP00000465143	NP_666500	Q9BYD3	ENST00000590669
ENSP00000558279			ENST00000888220
ENSP00000407734			ENST00000435208
ENSP00000392045		P00750	ENST00000429089
ENSP00000432284			ENST00000527848
ENSP00000558280			ENST00000888221
ENSP00000558503			ENST00000888444
ENSP00000504311		P00750	ENST00000679151
ENSP00000612771			ENST00000942712
ENSP00000589942			ENST00000919883
ENSP00000558504			ENST00000888445
ENSP00000612772			ENST00000942713
ENSP00000244520	NP_003084	P09234	ENST00000244520
ENSP00000232458	NP_001336032	Q9H8V3	ENST00000232458
ENSP00000232458	NP_001336033	Q9H8V3	ENST00000232458
ENSP00000232458	NP_060568	Q9H8V3	ENST00000232458
ENSP00000253099	NP_057040	Q9BYD3	ENST00000253099
ENSP00000589943			ENST00000919884
ENSP00000270188	NP_127509	P00750	ENST00000352041
ENSP00000612773			ENST00000942714
ENSP00000608563			ENST00000938504
ENSP00000363130			ENST00000374018
ENSP00000377334	NP_001398078		ENST00000393733
ENSP00000502858			ENST00000678676
ENSP00000363129			ENST00000374017
ENSP00000630268			ENST00000960209
ENSP00000466169			ENST00000588502
ENSP00000579324			ENST00000909265
ENSP00000503050			ENST00000679300
ENSP00000465050			ENST00000590702
ENSP00000594425			ENST00000924366
ENSP00000594426			ENST00000924367
ENSP00000428886			ENST00000519510
ENSP00000576146			ENST00000906087
ENSP00000576147			ENST00000906088
ENSP00000407861			ENST00000429710
ENSP00000576148			ENST00000906089
ENSP00000429401	NP_001306118		ENST00000524009
ENSP00000576149			ENST00000906090
ENSP00000376457	NP_001245244	Q9H8V3	ENST00000392692
ENSP00000376457	NP_001336028	Q9H8V3	ENST00000392692
ENSP00000600088			ENST00000930029
ENSP00000429542			ENST00000521042
ENSP00000600089			ENST00000930030
ENSP00000415876	NP_001336031	Q9H8V3	ENST00000417960
ENSP00000428797			ENST00000520523
ENSP00000403501			ENST00000428567
ENSP00000429801			ENST00000521694
ENSP00000554081			ENST00000884022
ENSP00000403446			ENST00000366090
ENSP00000554082			ENST00000884023
ENSP00000412331			ENST00000426894
ENSP00000554083			ENST00000884024
ENSP00000554084			ENST00000884025
ENSP00000391695			ENST00000366254
ENSP00000585899			ENST00000915840
ENSP00000412028			ENST00000415665
ENSP00000614463			ENST00000944404
ENSP00000389108			ENST00000438041
ENSP00000614464			ENST00000944405
ENSP00000412259		Q9H8V3	ENST00000441497
ENSP00000411674			ENST00000444250
ENSP00000397788			ENST00000437296
ENSP00000443160	NP_001336030	Q9H8V3	ENST00000540509
ENSP00000443160	NP_001245245	Q9H8V3	ENST00000540509
ENSP00000564292	NP_001336027		ENST00000894233
ENSP00000564292	NP_001336029		ENST00000894233
ENSP00000564293			ENST00000894234
ENSP00000564294			ENST00000894235
ENSP00000357440	NP_004497	Q03933	ENST00000368455
ENSP00000564295			ENST00000894236
ENSP00000477405			ENST00000465214
ENSP00000591554			ENST00000921495
ENSP00000400380	NP_001129036	Q03933	ENST00000452194
ENSP00000381823	NP_068817	O95486	ENST00000398844
ENSP00000594487			ENST00000924428
ENSP00000591555	NP_001336023		ENST00000921496
ENSP00000591555	NP_001336025		ENST00000921496
ENSP00000591555	NP_001336024		ENST00000921496
ENSP00000591555	NP_001336026		ENST00000921496
ENSP00000594488			ENST00000924429
ENSP00000321749	NP_001239160	O95486	ENST00000322887
ENSP00000591556			ENST00000921497
ENSP00000424273			ENST00000513123
ENSP00000591557			ENST00000921498
ENSP00000573456			ENST00000903397
ENSP00000591558			ENST00000921499
ENSP00000573457			ENST00000903398
ENSP00000591559			ENST00000921500
ENSP00000609669			ENST00000939610
ENSP00000410818	NP_001003690	Q15013	ENST00000451025
ENSP00000591560			ENST00000921501
ENSP00000609670			ENST00000939611
ENSP00000361244	NP_055443	Q15013	ENST00000372171
ENSP00000591561			ENST00000921502
ENSP00000595030			ENST00000924971
ENSP00000595031			ENST00000924972
ENSP00000609671			ENST00000939612
ENSP00000495676			ENST00000644535
ENSP00000609672			ENST00000939613
ENSP00000609673			ENST00000939614
ENSP00000322631	NP_690050	P57768	ENST00000353788
ENSP00000495661			ENST00000642957
ENSP00000490369			ENST00000636569
ENSP00000354851	NP_001365370	Q7Z4S6	ENST00000361961
ENSP00000354851	NP_060111	Q7Z4S6	ENST00000361961
ENSP00000480760	NP_001238830		ENST00000612003
ENSP00000515374			ENST00000703558
ENSP00000448792			ENST00000551264
ENSP00000322652	NP_690049	P57768	ENST00000345957
ENSP00000413625	NP_055848	Q96RU3	ENST00000446176
ENSP00000447765			ENST00000552961
ENSP00000428699			ENST00000520618
ENSP00000514403			ENST00000699492
ENSP00000430038			ENST00000523757
ENSP00000515375			ENST00000703559
ENSP00000445606	NP_001166934	Q7Z4S6	ENST00000544797
ENSP00000428734			ENST00000521810
ENSP00000368450	NP_004224	Q01151	ENST00000379153
ENSP00000527203	NP_001035370		ENST00000857144
ENSP00000415602			ENST00000449089
ENSP00000354878	NP_001365369	Q7Z4S6	ENST00000361418
ENSP00000354878	NP_001365368	Q7Z4S6	ENST00000361418
ENSP00000354878	NP_001166935	Q7Z4S6	ENST00000361418
ENSP00000595059			ENST00000925000
ENSP00000515358		Q96RU3	ENST00000703532
ENSP00000427876			ENST00000519119
ENSP00000515359	NP_001397947		ENST00000703533
ENSP00000428591			ENST00000519817
ENSP00000347907	NP_001350684	Q96RU3	ENST00000355681
ENSP00000302917			ENST00000302091
ENSP00000438075	NP_001166936	Q7Z4S6	ENST00000541463
ENSP00000428289			ENST00000518183
ENSP00000515376			ENST00000703560
ENSP00000430585			ENST00000521773
ENSP00000358739	NP_001309264	Q9UIY3	ENST00000369724
ENSP00000358739	NP_219479	Q9UIY3	ENST00000369724
ENSP00000414920	NP_919272	Q86W54	ENST00000450845
ENSP00000545907			ENST00000875848
ENSP00000426748			ENST00000512761
ENSP00000595563			ENST00000925504
ENSP00000379621	NP_001335118	P57768	ENST00000396330
ENSP00000379621	NP_071416	P57768	ENST00000396330
ENSP00000449698			ENST00000547108
ENSP00000423424			ENST00000514983
ENSP00000595564	NP_001309265		ENST00000925505
ENSP00000595564	NP_001309266		ENST00000925505
ENSP00000595564	NP_001309268		ENST00000925505
ENSP00000526611			ENST00000856552
ENSP00000290913	NP_115719	Q9BRQ6	ENST00000290913
ENSP00000424248			ENST00000509959
ENSP00000526612			ENST00000856553
ENSP00000356308	NP_078794	Q9BZM4	ENST00000367339
ENSP00000526613			ENST00000856554
ENSP00000447070			ENST00000551066
ENSP00000526614			ENST00000856555
ENSP00000427517			ENST00000503119
ENSP00000400524		Q86W54	ENST00000451821
ENSP00000614916			ENST00000944857
ENSP00000403562		Q9BZM4	ENST00000438272
ENSP00000423226			ENST00000507779
ENSP00000595568			ENST00000925509
ENSP00000614917			ENST00000944858
ENSP00000609747			ENST00000939688
ENSP00000422912			ENST00000508789
ENSP00000577798			ENST00000907739
ENSP00000449700			ENST00000552908
ENSP00000614918			ENST00000944859
ENSP00000294119	NP_056937	Q04323	ENST00000294119
ENSP00000524221			ENST00000854162
ENSP00000577799			ENST00000907740
ENSP00000440348		O75251	ENST00000546283
ENSP00000422787			ENST00000513253
ENSP00000614919			ENST00000944860
ENSP00000577800			ENST00000907741
ENSP00000614920			ENST00000944861
ENSP00000524222			ENST00000854163
ENSP00000577801			ENST00000907742
ENSP00000614921			ENST00000944862
ENSP00000577802			ENST00000907743
ENSP00000589113			ENST00000919054
ENSP00000540644	NP_001307539		ENST00000870585
ENSP00000588103			ENST00000918044
ENSP00000589114			ENST00000919055
ENSP00000588104			ENST00000918045
ENSP00000540645			ENST00000870586
ENSP00000589115			ENST00000919056
ENSP00000616073			ENST00000946014
ENSP00000591939			ENST00000921880
ENSP00000616074			ENST00000946015
ENSP00000591940			ENST00000921881
ENSP00000432189			ENST00000533000
ENSP00000616075			ENST00000946016
ENSP00000359187			ENST00000370168
ENSP00000616076			ENST00000946017
ENSP00000350755	NP_055650	Q9H1P3	ENST00000358053
ENSP00000316649	NP_653081	Q9H1P3	ENST00000313733
ENSP00000495166	NP_001265578		ENST00000645520
ENSP00000478250	NP_001273007		ENST00000616865
ENSP00000495393			ENST00000642932
ENSP00000303991	NP_001273006	Q04323	ENST00000301935
ENSP00000494756			ENST00000642516
ENSP00000495955			ENST00000644775
ENSP00000493721			ENST00000643174
ENSP00000435964			ENST00000529640
ENSP00000494921	NP_001350807		ENST00000645442
ENSP00000494549		Q9H1P3	ENST00000643412
ENSP00000494692			ENST00000646834
ENSP00000495611			ENST00000646968
ENSP00000379368	NP_003411	P13682	ENST00000396056
ENSP00000427692			ENST00000503802
ENSP00000435625			ENST00000534176
ENSP00000495812			ENST00000645426
ENSP00000494264			ENST00000644702
ENSP00000404336			ENST00000432115
ENSP00000404354			ENST00000415571
ENSP00000495359			ENST00000644189
ENSP00000391573			ENST00000399560
ENSP00000495379		Q9H1P3	ENST00000643981
ENSP00000493570			ENST00000642714
ENSP00000296092			ENST00000296092
ENSP00000443273	NP_001350531		ENST00000539480
ENSP00000415751			ENST00000448156
ENSP00000401311			ENST00000453164
ENSP00000535466			ENST00000865407
ENSP00000539370			ENST00000869311
ENSP00000364262		O75251	ENST00000313408
ENSP00000443959			ENST00000541953
ENSP00000535467			ENST00000865408
ENSP00000539371			ENST00000869312
ENSP00000591956			ENST00000921897
ENSP00000539372			ENST00000869313
ENSP00000539373			ENST00000869314
ENSP00000442822			ENST00000534853
ENSP00000397602			ENST00000439951
ENSP00000590104			ENST00000920045
ENSP00000590105			ENST00000920046
ENSP00000535149			ENST00000865090
ENSP00000590106			ENST00000920047
ENSP00000535150			ENST00000865091
ENSP00000535151			ENST00000865092
ENSP00000535152			ENST00000865093
ENSP00000233627	NP_077718	O75251	ENST00000233627
ENSP00000535153			ENST00000865094
ENSP00000587788			ENST00000917729
ENSP00000467094			ENST00000546172
ENSP00000587789			ENST00000917730
ENSP00000406630			ENST00000414651
ENSP00000587790			ENST00000917731
ENSP00000628348			ENST00000958289
ENSP00000628349			ENST00000958290
ENSP00000628350			ENST00000958291
ENSP00000628351			ENST00000958292
ENSP00000544073			ENST00000874014
ENSP00000544074			ENST00000874015
ENSP00000544075			ENST00000874016
ENSP00000544076			ENST00000874017
ENSP00000544077			ENST00000874018
ENSP00000544078			ENST00000874019
ENSP00000600102			ENST00000930043
ENSP00000600103			ENST00000930044
ENSP00000427130	NP_001334830	Q6ZTN6	ENST00000511455
ENSP00000427130	NP_997237	Q6ZTN6	ENST00000511455
ENSP00000470962		O95182	ENST00000593729
ENSP00000471333			ENST00000601101
ENSP00000471943			ENST00000595856
ENSP00000301457	NP_004992	O95182	ENST00000301457
ENSP00000340361	NP_001097	Q13705	ENST00000352511
ENSP00000540952			ENST00000870893
ENSP00000600247			ENST00000930188
ENSP00000229729	NP_079533	Q53GD3	ENST00000229729
ENSP00000444109	NP_001171516	Q53GD3	ENST00000544672
ENSP00000310874			ENST00000308440
ENSP00000364712	NP_001171515	Q53GD3	ENST00000375562
ENSP00000592191			ENST00000922132
ENSP00000398901			ENST00000414427
ENSP00000401820			ENST00000415165
ENSP00000429089		O96020	ENST00000520509
ENSP00000552908			ENST00000882849
ENSP00000480227			ENST00000506119
ENSP00000309181	NP_477097	O96020	ENST00000308108
ENSP00000552909			ENST00000882850
ENSP00000443977			ENST00000515828
ENSP00000552910			ENST00000882851
ENSP00000578488			ENST00000908429
ENSP00000379437			ENST00000396133
ENSP00000552911			ENST00000882852
ENSP00000578489			ENST00000908430
ENSP00000246551	NP_055081	Q9UBK5	ENST00000246551
ENSP00000430060			ENST00000524224
ENSP00000552912			ENST00000882853
ENSP00000590493			ENST00000920434
ENSP00000590494			ENST00000920435
ENSP00000595917			ENST00000925858
ENSP00000400516	NP_001007470	Q9UBK5	ENST00000437550
ENSP00000534062			ENST00000864003
ENSP00000309690	NP_001374866	Q9Y485	ENST00000311085
ENSP00000309690	NP_001374863	Q9Y485	ENST00000311085
ENSP00000309690	NP_001336169	Q9Y485	ENST00000311085
ENSP00000309690	NP_005500	Q9Y485	ENST00000311085
ENSP00000309690	NP_001374862	Q9Y485	ENST00000311085
ENSP00000534063			ENST00000864004
ENSP00000600265			ENST00000930206
ENSP00000428988			ENST00000521809
ENSP00000430875			ENST00000519889
ENSP00000419762		P15822	ENST00000491710
ENSP00000519513			ENST00000714232
ENSP00000530283			ENST00000860224
ENSP00000417348		P15822	ENST00000487103
ENSP00000530284			ENST00000860225
ENSP00000368698	NP_002105	P15822	ENST00000379388
ENSP00000530285			ENST00000860226
ENSP00000530286			ENST00000860227
ENSP00000530287			ENST00000860228
ENSP00000486543			ENST00000627968
ENSP00000588177			ENST00000918118
ENSP00000409078			ENST00000442081
ENSP00000439479	NP_001374867		ENST00000539542
ENSP00000439479	NP_001277250		ENST00000539542
ENSP00000439479	NP_001336168		ENST00000539542
ENSP00000588178			ENST00000918119
ENSP00000418021		P15822	ENST00000478545
ENSP00000588179			ENST00000918120
ENSP00000609901			ENST00000939842
ENSP00000419721			ENST00000484210
ENSP00000614925			ENST00000944866
ENSP00000382395			ENST00000399469
ENSP00000519512			ENST00000714231
ENSP00000595981			ENST00000925922
ENSP00000295746	NP_065941	Q8TCG1	ENST00000295746
