NT_187605.1	chr15_KI270849v1_alt
HSCHR8_1_CTG6	NT_187566.1
KI270390.1	chrUn_KI270390v1
KI270589.1	NT_187451.1
GJ211909.1	KI270377.1
HG2408_PATCH	MU273361.1
NT_187413.1	chrUn_KI270420v1
GJ211943.1	NT_187220.1
GL383572.1	chr18_GL383572v1_alt
HG2263_PATCH	NW_019805500.1
HSCHR3_1_CTG1	JH636055.2
KI270548.1	NT_187445.1
HSCHR10_1_CTG1	NW_003315934.1
ML143343.1	NW_021159989.1
NT_187380.1	chr14_KI270725v1_random
HSCHR22_6_CTG1	KQ458387.1
GJ212042.1	NT_187258.1
HSCHR7_3_CTG1	NW_019805493.1
NT_187588.1	chr12_KI270837v1_alt
HG1445_PATCH	NW_021160003.1
HSCHR14_7_CTG1	chr14_KI270847v1_alt
KI270899.1	chr7_KI270899v1_alt
2	chr2
KI270749.1	NT_187504.1
ML143342.1	NW_021159988.1
KI270465.1	NT_187422.1
HSCHR2_2_CTG15	chr2_KI270893v1_alt
KI270439.1	NT_187228.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	chr19_KI270929v1_alt
KI270881.1	chrX_KI270881v1_alt
KI270745.1	chrUn_KI270745v1
GL000043.1	NT_037645.2
HSCHR18_ALT21_CTG2_1	KI270912.1
GL383521.1	HSCHR2_1_CTG5
HSCHR16_3_CTG3_1	NW_012132921.1
GJ212126.2	NT_187324.1
KI270763.1	NT_187519.1
GJ212194.1	NT_187201.1
HSCHR18_1_CTG1	KZ559116.1
HSCHR19LRC_COX2_CTG3_1	chr19_GL949747v2_alt
NT_187538.1	chr3_KI270781v1_alt
HSCHR14_9_CTG1	NW_021160014.1
KI270708.1	chr1_KI270708v1_random
KN538361.1	NW_011332688.1
KZ208909.1	NW_018654711.1
CM000666.2	NC_000004.12
HG2510_PATCH	NW_021160013.1
KZ208920.1	NW_018654722.1
KI270800.1	chr6_KI270800v1_alt
NT_187660.1	chr15_KI270905v1_alt
HG563_PATCH	NW_021159997.1
HSCHR13_1_CTG2	chr13_KI270839v1_alt
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	KI270932.1
HSCHR19_5_CTG2	NT_187622.1
HSCHR3_5_CTG3	KI270934.1
KI270516.1	chrUn_KI270516v1
NT_187622.1	chr19_KI270868v1_alt
HSCHR3_9_CTG3	chr3_KI270784v1_alt
HSCHR2_6_CTG1	MU273340.1
GJ212172.2	KI270680.1
GJ212135.2	NT_187329.1
GJ212167.2	NT_187346.1
KI270712.1	NT_187367.1
KI270373.1	NT_187492.1
HSCHR3_6_CTG3	chr3_KI270935v1_alt
HSCHR18_2_CTG2_1	NW_003315961.1
NT_167219.1	chr14_GL000225v1_random
KQ031387.1	NW_012132918.1
HG1651_PATCH	NW_012132918.1
HG2290_PATCH	KQ031384.1
NT_187617.1	chr18_KI270863v1_alt
HSCHR7_1_CTG6	chr7_GL383534v2_alt
KI270438.1	NT_187425.1
GJ211908.1	KI270369.1
HSCHR4_2_CTG4	NW_013171799.1
KI270705.1	NT_187360.1
NT_187653.1	chr7_KI270899v1_alt
KI270857.1	NT_187614.1
GL000018.2	NT_167186.2
KI270780.1	chr3_KI270780v1_alt
GL000195.1	chrUn_GL000195v1
HG2111_PATCH	ML143360.1
KI270417.1	chrUn_KI270417v1
GJ212105.1	NT_187293.1
HSCHR5_4_CTG1	KI270792.1
HSCHR15_3_CTG3	NT_187604.1
KI270429.1	chrUn_KI270429v1
GL000258.2	HSCHR17_1_CTG5
NT_187693.1	chr19_KI270938v1_alt
NT_113901.1	chrUn_GL000195v1
HSCHR12_2_CTG2	NW_003571050.1
GL000089.2	NT_008470.20
GJ212193.1	KI270705.1
HG142_HG150_NOVEL_TEST	NW_003871073.1
KI270335.1	chrUn_KI270335v1
J01415.2	MT
GJ212155.2	KI270663.1
GL383534.2	chr7_GL383534v2_alt
NT_187439.1	chrUn_KI270529v1
HSCHR22_1_CTG5	KI270877.1
KI270400.1	NT_187207.1
KZ208914.1	NW_018654716.1
HSCHR4_5_CTG12	KI270789.1
GJ211963.2	KI270441.1
KQ090028.1	NW_013171814.1
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	NT_187672.1
HSCHR13_1_CTG3	KI270840.1
NT_167213.1	chrUn_GL000219v1
KI270476.1	NT_187243.1
NT_187651.1	chr5_KI270897v1_alt
KI270750.1	chrUn_KI270750v1
NT_167208.1	chrUn_GL000213v1
GL383551.1	HSCHR12_4_CTG2_1
HSCHR7_2_CTG6	chr7_KI270803v1_alt
HG2068_PATCH	NW_017852932.1
9	CM000671.2
GJ212067.1	KI270547.1
HSCHR1_5_CTG32_1	KQ458384.1
NT_167250.2	chr4_GL000257v2_alt
GJ212202.1	KI866532.1
KI270545.1	NT_187275.1
GL000244.1	NT_167238.1
KI270301.1	NT_187172.1
KI270317.1	NT_187407.1
KZ208915.1	NW_018654717.1
HG76_PATCH	NW_018654717.1
NT_187517.1	chr1_KI270766v1_alt
KZ208922.1	NW_018654724.1
KI270847.1	NT_187601.1
HSCHR19KIR_0010-5217-AB_CTG3_1	KV575254.1
KI866539.1	NT_187330.1
GL000226.1	NT_167220.1
NT_187638.1	chr19_KI270884v1_alt
CM000684.2	chr22
HSCHR1_5_CTG3	NW_015495298.1
GL339449.2	NW_003315917.2
HG2062_PATCH	NW_009646209.1
NT_187684.1	chr19_KI270930v1_alt
HSCHR2_2_CTG1	chr2_KI270770v1_alt
KI270637.1	NT_187329.1
HG2244_HG2245_PATCH	KN538367.1
NT_187584.1	chr11_KI270830v1_alt
NW_003315970.2	chr21_GL383581v2_alt
HSCHR17_3_CTG2	NT_187664.1
HSCHR10_1_CTG2	chr10_GL383546v1_alt
NT_187489.1	chrUn_KI270376v1
2	CM000664.2
NT_187466.1	chrUn_KI270337v1
KI270587.1	chrUn_KI270587v1
HSCHR12_2_CTG1	NW_013171809.1
HSCHR4_6_CTG12	chr4_KI270896v1_alt
KI270441.1	NT_187230.1
HG109_PATCH	NW_021160022.1
KQ090013.1	NW_013171799.1
KI270525.1	NT_187261.1
HSCHR6_MHC_MCF_CTG1	chr6_GL000254v2_alt
KI270809.1	chr7_KI270809v1_alt
KI270912.1	chr18_KI270912v1_alt
KI270391.1	chrUn_KI270391v1
KZ559105.1	NW_019805492.1
HSCHR8_5_CTG7	chr8_KI270819v1_alt
HG30_PATCH	KV575244.1
GJ211933.1	KI270410.1
NT_187628.1	chr21_KI270874v1_alt
KI270323.1	NT_187176.1
HSCHR4_1_CTG9	NT_167250.2
NT_187440.1	chrUn_KI270528v1
HG1277_PATCH	ML143355.1
KI270519.1	NT_187433.1
KI270837.1	chr12_KI270837v1_alt
KZ559100.1	NW_019805487.1
GJ212149.2	KI270651.1
HSCHR6_1_CTG3	chr6_KB021644v2_alt
KI270299.1	NT_187170.1
GL000213.1	chrUn_GL000213v1
GJ211969.2	NT_187234.1
NC_000016.10	chr16
NT_187421.1	chrUn_KI270466v1
GL000119.2	NT_078094.3
KV575248.1	NW_016107302.1
KI270507.1	NT_187437.1
GJ211908.1	NT_187200.1
HSCHR2_4_CTG7_2	NT_187530.1
KI270791.1	chr5_KI270791v1_alt
HSCHR12_2_CTG2	chr12_GL877876v1_alt
NT_167245.2	chr6_GL000252v2_alt
KI270626.1	NT_187322.1
KI270342.1	NT_187185.1
GJ211855.1	NT_187174.1
HSCHR22_8_CTG1	NW_015148968.1
CM000672.2	chr10
HG23_PATCH	KN196482.1
KI270799.1	chr6_KI270799v1_alt
NT_187647.1	chr2_KI270893v1_alt
HG2057_PATCH	KZ208911.1
HSCHR6_1_CTG6	chr6_KI270799v1_alt
NT_187410.1	chrUn_KI270414v1
KI270544.1	chrUn_KI270544v1
KI270795.1	NT_187546.1
GJ212002.2	KI270480.1
HSCHR11_2_CTG1	KI270902.1
GL000183.1	NT_011878.9
HSCHR6_MHC_COX_CTG1	NT_113891.3
GJ212169.2	KI270677.1
NT_187575.1	chr8_KI270820v1_alt
NT_187372.1	chr9_KI270717v1_random
HSCHR6_MHC_QBL_CTG1	NT_167248.2
HG2128_PATCH	KN196478.1
NT_187497.1	chrUn_KI270741v1
GJ212045.1	KI270523.1
KV575256.1	NW_016107310.1
KI270926.1	NT_187680.1
NT_187448.1	chrUn_KI270580v1
NW_003315936.1	chr11_GL383547v1_alt
HSCHR17_6_CTG4	JH159148.1
KI270865.1	NT_187621.1
GL000080.2	NT_078052.5
GL383520.2	chr1_GL383520v2_alt
NT_167211.2	chrUn_GL000216v2
KI270845.1	NT_187599.1
KZ559115.1	NW_019805502.1
KI270727.1	NT_187382.1
HG705_PATCH	ML143349.1
NT_187544.1	chr4_KI270788v1_alt
KI270922.1	chr19_KI270922v1_alt
JH159147.1	NW_003871092.1
HSCHR19_2_CTG2	NW_003315964.2
13	NC_000013.11
NT_187464.1	chrUn_KI270340v1
KI270338.1	NT_187463.1
NT_187620.1	chr19_KI270867v1_alt
GL000145.1	NT_113952.1
KI270797.1	NT_187552.1
KI270731.1	NT_187386.1
KN196476.1	NW_009646198.1
HSCHR11_1_CTG8	chr11_KI270832v1_alt
HSCHR5_1_CTG1_1	KI270897.1
NT_187657.1	chr11_KI270903v1_alt
HSCHR11_3_CTG1	KI270927.1
KI270928.1	chr22_KI270928v1_alt
HG2121_PATCH	KV766194.1
HSCHR19_3_CTG2	NW_003315965.1
KI270769.1	NT_187522.1
GJ212126.2	KI270628.1
HSCHR21_4_CTG1_1	NW_003315970.2
NT_187446.1	chrUn_KI270583v1
HSCHR19KIR_G248_BA2_HAP_CTG3_1	KI270886.1
GL949749.2	HSCHR19LRC_LRC_J_CTG3_1
KI270784.1	NT_187539.1
KI270465.1	chrUn_KI270465v1
KI270834.1	NT_187590.1
KQ090025.1	NW_013171811.1
HSCHR12_1_CTG2	chr12_GL383549v1_alt
HSCHR3_5_CTG3	NT_187688.1
HSCHR6_1_CTG6	KI270799.1
KI270933.1	chr19_KI270933v1_alt
HSCHR1_1_CTG31	chr1_GL383518v1_alt
HSCHR21_6_CTG1_1	KI270873.1
KI270546.1	NT_187276.1
CM000667.2	chr5
HG151_NOVEL_TEST	NW_003871074.1
HSCHR1_1_CTG32_1	chr1_KI270759v1_alt
GJ212091.1	KI270571.1
HSCHR12_1_CTG2	NW_003315938.1
KI270913.1	NT_187667.1
GL383565.1	NW_003315954.1
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	NT_187642.1
HSCHR11_1_CTG6	NT_187584.1
HG2280_PATCH	MU273374.1
KI270579.1	NT_187450.1
KI270737.1	NT_187392.1
HG563_PATCH	ML143351.1
GL383531.1	NW_003315919.1
HSCHR15_9_CTG8	MU273375.1
NT_187543.1	chr4_KI270786v1_alt
GL582966.2	NW_003571033.2
KI270816.1	chr8_KI270816v1_alt
HSCHR17_5_CTG4	NW_003871092.1
HSCHR17_2_CTG5	NT_187663.1
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	KI270917.1
KI270904.1	chr12_KI270904v1_alt
HG2002_PATCH	KZ208906.1
HSCHR17_2_CTG1	NT_187662.1
GJ211909.1	NT_187202.1
HSCHR5_3_CTG1_1	NW_003315918.1
GL000253.2	HSCHR6_MHC_MANN_CTG1
HG2104_PATCH	KN196474.1
KI270755.1	chrUn_KI270755v1
KI270894.1	chr2_KI270894v1_alt
HG2133_PATCH	KZ559104.1
KI270509.1	chrUn_KI270509v1
KQ031385.1	NW_012132916.1
HSCHR11_2_CTG1_1	chr11_KI270903v1_alt
KI270754.1	NT_187509.1
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	chr19_KI270923v1_alt
NT_187506.1	chrUn_KI270751v1
HSCHR21_1_CTG1_1	chr21_GL383578v2_alt
KI270725.1	NT_187380.1
KI270675.1	NT_187346.1
GL000180.2	NT_167205.2
GL000218.1	NT_113889.1
NW_004504305.1	chr22_KB663609v1_alt
GJ212204.1	NT_187330.1
KQ458382.1	NW_014040925.1
HSCHR2_1_CTG7	KI270772.1
NT_187366.1	chr1_KI270711v1_random
GL383581.2	NW_003315970.2
KI270938.1	NT_187693.1
HG1509_PATCH	ML143384.1
HG2052_PATCH	MU273343.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	KI270922.1
NT_187554.1	chr6_KI270799v1_alt
GJ212105.1	KI270585.1
HG613_PATCH	ML143353.1
GJ211986.2	KI270464.1
HSCHR3_3_CTG1	KI270783.1
GL000047.2	NT_006576.17
KI270438.1	chrUn_KI270438v1
GL000252.2	NT_167245.2
GL000255.2	chr6_GL000255v2_alt
KI270662.1	NT_187339.1
NT_187482.1	chrUn_KI270383v1
HSCHR19KIR_G248_A_HAP_CTG3_1	chr19_KI270885v1_alt
HSCHR6_MHC_DBB_CTG1	NT_167245.2
KI270855.1	NT_187608.1
KI270388.1	NT_187478.1
HSCHR18_3_CTG2_1	chr18_KI270863v1_alt
HSCHR7_1_CTG7	chr7_KI270805v1_alt
HSCHR20_1_CTG3	NT_187624.1
KI270808.1	NT_187564.1
HSCHRX_3_CTG7	KV766199.1
KI270382.1	NT_187488.1
ML143353.1	NW_021159999.1
4	NC_000004.12
CM000665.2	chr3
HSCHR22_1_CTG1	NW_003315971.2
HSCHR4_7_CTG12	NT_187679.1
ML143359.1	NW_021160005.1
GL949747.2	HSCHR19LRC_COX2_CTG3_1
HSCHR21_3_CTG1_1	chr21_GL383580v2_alt
KI270742.1	chrUn_KI270742v1
KI270829.1	chr11_KI270829v1_alt
KI270767.1	NT_187523.1
HSCHR7_3_CTG4_4	NW_018654715.1
KI270468.1	chrUn_KI270468v1
GL383542.1	HSCHR9_1_CTG4
GJ212201.1	KI866538.1
KI270820.1	NT_187575.1
KI270713.1	chr1_KI270713v1_random
HG2513_PATCH	ML143377.1
NT_187671.1	chr19_KI270917v1_alt
KI270528.1	chrUn_KI270528v1
GJ211972.2	KI270450.1
KI270487.1	NT_187251.1
GJ211992.2	NT_187240.1
GJ212093.1	KI270573.1
HSCHR2_2_CTG1	NT_187525.1
HSCHR8_1_CTG1	NT_187565.1
KZ208904.1	NW_018654706.1
KZ559106.1	NW_019805493.1
GJ211882.1	KI270343.1
GL383539.1	HSCHR9_1_CTG1
NW_003571036.1	chr5_GL949742v1_alt
KI270732.1	chr22_KI270732v1_random
GJ211949.1	KI270427.1
HSCHR6_MHC_SSTO_CTG1	chr6_GL000256v2_alt
HSCHR10_1_CTG6	KQ090020.1
NT_187442.1	chrUn_KI270539v1
GL383551.1	NW_003315940.1
KI270919.1	chr19_KI270919v1_alt
GJ211837.1	KI270301.1
KI270602.1	NT_187303.1
HG699_PATCH	ML143344.1
9	chr9
HSCHR2_3_CTG1	KI270773.1
KI270369.1	NT_187200.1
GL000189.1	NT_091573.1
KI270778.1	chr3_KI270778v1_alt
KZ208906.1	NW_018654708.1
HSCHRX_3_CTG7	NW_017363820.1
NC_000019.10	chr19
NT_187685.1	chr19_KI270931v1_alt
HSCHR19LRC_LRC_I_CTG3_1	NW_003571056.2
HG2511_PATCH	NW_021160018.1
NT_113889.1	chrUn_GL000218v1
HSCHR21_2_CTG1_1	chr21_GL383579v2_alt
GJ212004.2	KI270482.1
NT_187608.1	chr16_KI270855v1_alt
GL383552.1	NW_003315941.1
KI270871.1	NT_187625.1
KI270724.1	chr14_KI270724v1_random
HSCHR1_4_CTG32_1	KI270764.1
NT_187394.1	chr22_KI270739v1_random
HSCHR22_1_CTG7	chr22_KI270879v1_alt
GJ212206.1	KI866535.1
KI270414.1	NT_187410.1
HSCHR19_1_CTG3_1	NW_003315963.1
KI270851.1	NT_187604.1
HSCHR17_3_CTG1	NW_017363819.1
NT_187548.1	chr5_KI270792v1_alt
HSCHR12_8_CTG2_1	KZ208918.1
HSCHR12_1_CTG1	chr12_GL877875v1_alt
KI270399.1	NT_187206.1
NW_003315935.1	chr10_GL383546v1_alt
NT_187521.1	chr1_KI270764v1_alt
HSCHR7_2_CTG7	KI270807.1
KQ759760.1	NW_015148967.1
KI270898.1	chr5_KI270898v1_alt
GJ211930.1	KI270408.1
GL339449.2	chr5_GL339449v2_alt
HG2060_PATCH	NW_019805495.1
NT_187507.1	chrUn_KI270752v1
KI270890.1	NT_187644.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	NT_187675.1
KI270812.1	chr8_KI270812v1_alt
HG2290_PATCH	NW_012132915.1
HSCHR19_5_CTG2	KI270868.1
HSCHR3_2_CTG2_1	NT_187533.1
KI270509.1	NT_187428.1
HSCHR17_2_CTG5	KI270908.1
KQ759761.1	NW_015148968.1
11	chr11
HSCHR3_4_CTG1	NW_018654711.1
KQ458386.1	NW_014040929.1
KI270720.1	NT_187375.1
HSCHR16_5_CTG3_1	NW_018654723.1
HG2002_PATCH	NW_018654708.1
KI270935.1	chr3_KI270935v1_alt
KI270484.1	NT_187249.1
HSCHR4_1_CTG6	NW_003315915.1
HSCHR8_1_CTG7	NT_187567.1
KI270394.1	NT_187479.1
HSCHR4_9_CTG12	NW_013171801.1
NT_187367.1	chr1_KI270712v1_random
NT_113948.1	chr5_GL000208v1_random
KI270714.1	NT_187369.1
GL000257.2	HSCHR4_1_CTG9
KI270735.1	NT_187390.1
GL383554.1	chr15_GL383554v1_alt
HSCHR15_1_CTG3	NT_187603.1
HSCHR3_1_CTG3	chr3_KI270779v1_alt
KI270829.1	NT_187583.1
KI270813.1	NT_187570.1
HG1384_PATCH	ML143342.1
KI270894.1	NT_187648.1
HG126_PATCH	KN538364.1
NT_187627.1	chr21_KI270873v1_alt
HSCHR3_1_CTG2_1	chr3_GL383526v1_alt
NT_187689.1	chr3_KI270935v1_alt
KI270739.1	NT_187394.1
HG1296_PATCH	NW_021159994.1
KI270377.1	NT_187202.1
HG2022_PATCH	NW_009646198.1
GL000164.2	NT_079573.5
NW_003315969.2	chr21_GL383580v2_alt
CM000669.2	chr7
KI270783.1	NT_187535.1
HSCHR5_3_CTG5	chr5_KI270898v1_alt
CM000677.2	chr15
HSCHR2_3_CTG1	chr2_KI270773v1_alt
HSCHR7_2_CTG1	chr7_KI270899v1_alt
HSCHR9_1_CTG1	chr9_GL383539v1_alt
HSCHR19KIR_0019-4656-A_CTG3_1	KV575246.1
GJ212000.2	NT_187245.1
KI270302.1	NT_187396.1
HSCHR5_4_CTG1_1	KI270796.1
NT_187629.1	chr22_KI270875v1_alt
HSCHR5_3_CTG1	chr5_KI270791v1_alt
NT_187509.1	chrUn_KI270754v1
KI270836.1	chr12_KI270836v1_alt
HSCHR8_9_CTG1	NT_187577.1
KI270325.1	NT_187178.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	chr19_KI270922v1_alt
HSCHR3_5_CTG2_1	chr3_KI270781v1_alt
KI270315.1	chrUn_KI270315v1
GJ212169.2	NT_187348.1
KI270798.1	NT_187553.1
HSCHR22_3_CTG1	NT_187682.1
KI270513.1	NT_187256.1
GJ211857.1	KI270321.1
KI270311.1	chrUn_KI270311v1
HSCHR16_5_CTG3_1	KZ208921.1
HSCHR7_3_CTG6	KI270808.1
KQ090017.1	NW_013171803.1
KI270585.1	NT_187293.1
HG2232_PATCH	KN538363.1
KZ559111.1	NW_019805498.1
KN538362.1	NW_011332689.1
HG986_PATCH	NW_009646194.1
KI270928.1	NT_187682.1
GL949752.1	HSCHR19LRC_PGF1_CTG3_1
ML143370.1	NW_021160016.1
KI270398.1	NT_187205.1
NW_003315956.1	chr18_GL383567v1_alt
HSCHR1_8_CTG3	NW_018654706.1
KI270368.1	NT_187199.1
NT_187658.1	chr12_KI270904v1_alt
KI270856.1	NT_187609.1
KZ208917.1	NW_018654719.1
NT_187493.1	chrUn_KI270375v1
HSCHR12_3_CTG2	NT_187658.1
HG1298_PATCH	NW_021159993.1
HG2247_PATCH	KN538370.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	KI270921.1
HG2077_PATCH	MU273347.1
KI270422.1	chrUn_KI270422v1
NT_187512.1	chrUn_KI270757v1
GL383565.1	HSCHR17_2_CTG4
GJ212211.1	NT_187253.1
HSCHR4_2_CTG12	KI270785.1
HSCHR16_1_CTG1	KI270853.1
JH636055.2	NW_003871060.2
HSCHR13_1_CTG5	chr13_KI270842v1_alt
KI270590.1	chrUn_KI270590v1
HSCHR2_4_CTG1	KI270774.1
GJ212125.2	KI270627.1
NT_187645.1	chr19_KI270891v1_alt
GJ211904.2	NT_187197.1
KI270370.1	NT_187201.1
NT_187476.1	chrUn_KI270395v1
GJ212208.1	KI866541.1
HSCHRX_2_CTG14	MU273396.1
GJ212000.2	KI270478.1
GL383581.2	chr21_GL383581v2_alt
ML143384.1	NW_021160030.1
GL000233.2	NT_167227.2
NT_187453.1	chrUn_KI270584v1
HG1_PATCH	NW_018654722.1
GL000209.2	chr19_GL000209v2_alt
GL383528.1	chr4_GL383528v1_alt
HSCHR19KIR_LUCE_A_HAP_CTG3_1	chr19_KI270889v1_alt
GL000212.1	NT_113923.1
GL000224.1	NT_167218.1
KI270303.1	NT_187398.1
KI270527.1	NT_187263.1
GL383534.2	HSCHR7_1_CTG6
GJ212071.1	NT_187280.1
NC_000012.12	chr12
NT_187675.1	chr19_KI270921v1_alt
KI270466.1	NT_187421.1
KI270843.1	NT_187597.1
KI270381.1	chrUn_KI270381v1
HSCHR12_7_CTG2_1	KI270836.1
KI270781.1	NT_187538.1
HSCHR17_8_CTG4	NT_187615.1
HSCHRX_2_CTG12	NT_187635.1
HG2246_HG2248_HG2276_PATCH	ML143361.1
KI270758.1	chr6_KI270758v1_alt
KI270749.1	chrUn_KI270749v1
NT_187401.1	chrUn_KI270320v1
NW_003315946.1	chr16_GL383557v1_alt
NW_003315958.1	chr18_GL383569v1_alt
KI270762.1	chr1_KI270762v1_alt
GJ212209.1	NT_187352.1
HG1320_PATCH	ML143375.1
KI270743.1	chrUn_KI270743v1
HSCHR21_1_CTG1_1	NW_003315967.2
GL383577.2	chr20_GL383577v2_alt
KI270729.1	NT_187384.1
HSCHR6_1_CTG4	chr6_KI270797v1_alt
GL383550.2	NW_003315939.2
GJ212210.1	KI866536.1
HSCHR4_12_CTG12	NW_017363814.1
GL000130.2	NT_024862.15
GL000190.2	NT_167206.2
NT_187430.1	chrUn_KI270508v1
KI270300.1	NT_187171.1
NW_003315934.1	chr10_GL383545v1_alt
NT_187593.1	chr13_KI270839v1_alt
HSCHR19KIR_T7526_A_HAP_CTG3_1	NT_187669.1
GL000117.2	NT_037852.7
NW_003571059.2	chr19_GL949751v2_alt
KI270807.1	NT_187563.1
KI270907.1	NT_187662.1
HSCHR5_2_CTG1	NW_003571036.1
GJ211855.1	KI270319.1
HSCHR19LRC_PGF2_CTG3_1	chr19_GL949753v2_alt
KI270794.1	NT_187551.1
GL000035.2	NT_005612.17
KI270848.1	chr15_KI270848v1_alt
NT_167220.1	chrUn_GL000226v1
HSCHR12_5_CTG2	NT_187588.1
KI270632.1	NT_187326.1
HSCHR19_4_CTG2	KI270865.1
HSCHR5_2_CTG1	chr5_GL949742v1_alt
14	CM000676.2
chrUn_KI270752v1	na
HSCHR2_10_CTG7_2	MU273337.1
NT_187568.1	chr8_KI270812v1_alt
HSCHR3_9_CTG2_1	KZ559103.1
NT_187551.1	chr5_KI270794v1_alt
KI270924.1	chr3_KI270924v1_alt
KI270844.1	chr14_KI270844v1_alt
KI270707.1	chr1_KI270707v1_random
HSCHR16_1_CTG3_1	NW_003315945.1
HSCHR6_1_CTG9	NT_187557.1
HSCHR22_4_CTG1	NW_009646207.1
KI270549.1	NT_187278.1
KI270875.1	chr22_KI270875v1_alt
HSCHR18_2_CTG2_1	chr18_GL383572v1_alt
HG721_PATCH	ML143341.1
KI270880.1	chrX_KI270880v1_alt
KI270773.1	NT_187526.1
KI270920.1	NT_187674.1
HSCHR17_2_CTG2	NT_187613.1
HSCHR1_1_CTG32_1	NT_187516.1
GJ212118.2	NT_187321.1
HSCHR7_2_CTG6	NT_187562.1
KI270839.1	NT_187593.1
HG1708_PATCH	KV766195.1
HG2047_PATCH	KZ208917.1
GL383573.1	chr19_GL383573v1_alt
KI270713.1	NT_187368.1
HSCHR22_6_CTG1	NW_014040930.1
HG1395_PATCH	NW_021159996.1
KI270759.1	chr1_KI270759v1_alt
GL000103.2	NT_167190.2
GJ212066.1	NT_187276.1
HSCHR17_1_CTG1	NW_003315952.3
NT_187388.1	chr22_KI270733v1_random
HSCHR5_4_CTG1	chr5_KI270792v1_alt
KV880763.1	NW_017852928.1
CM000685.2	NC_000023.11
KI270401.1	NT_187208.1
GL383582.2	NW_003315971.2
KI270329.1	NT_187459.1
HSCHR2_2_CTG7_2	chr2_GL582966v2_alt
HSCHR15_4_CTG8	NT_187660.1
KI270875.1	NT_187629.1
NT_187682.1	chr22_KI270928v1_alt
KI270435.1	chrUn_KI270435v1
KI270593.1	chrUn_KI270593v1
HSCHR3_3_CTG2_1	KI270778.1
HG2118_PATCH	MU273379.1
HSCHR13_1_CTG1	chr13_KI270838v1_alt
HSCHR22_1_CTG4	KI270876.1
HSCHR3_8_CTG2_1	KZ559102.1
KI270530.1	NT_187441.1
KI270815.1	chr8_KI270815v1_alt
GJ212186.2	NT_187353.1
1	NC_000001.11
GJ212168.2	KI270676.1
NW_003315928.1	chr9_GL383539v1_alt
HG2249_PATCH	NW_011332700.1
GJ212023.2	NT_187254.1
KZ208921.1	NW_018654723.1
NT_187619.1	chr19_KI270866v1_alt
KI270671.1	NT_187344.1
HSCHR4_2_CTG8_1	MU273349.1
HSCHR12_5_CTG2_1	NT_187589.1
HSCHR12_5_CTG2	chr12_KI270837v1_alt
GJ211836.1	KI270300.1
KI270661.1	NT_187338.1
KI270754.1	chrUn_KI270754v1
NT_187559.1	chr7_KI270806v1_alt
HG2471_PATCH	NW_021160019.1
NW_003315966.2	chr20_GL383577v2_alt
KI270658.1	NT_187335.1
NT_187667.1	chrX_KI270913v1_alt
KI270792.1	NT_187548.1
NT_187450.1	chrUn_KI270579v1
GJ212162.2	KI270670.1
NW_003315938.1	chr12_GL383549v1_alt
GJ212192.1	NT_187359.1
HSCHR16_1_CTG3_1	chr16_GL383556v1_alt
KZ208911.1	NW_018654713.1
11	NC_000011.10
KI270412.1	chrUn_KI270412v1
KI270694.1	NT_187353.1
KI270386.1	chrUn_KI270386v1
KI270506.1	NT_187255.1
ML143352.1	NW_021159998.1
HSCHR3_5_CTG2_1	KI270781.1
KI270884.1	NT_187638.1
HSCHR19KIR_LUCE_A_HAP_CTG3_1	KI270889.1
HSCHR1_4_CTG31	KI270765.1
HG152_PATCH	MU273369.1
HSCHR8_8_CTG1	KI270821.1
HG405_PATCH	MU273377.1
NT_187526.1	chr2_KI270773v1_alt
KI270871.1	chr20_KI270871v1_alt
KI270424.1	chrUn_KI270424v1
KI270837.1	NT_187588.1
KI270921.1	chr19_KI270921v1_alt
GL000243.1	NT_167237.1
HSCHRX_1_CTG3	NT_187634.1
HSCHR11_1_CTG5	chr11_KI270829v1_alt
HSCHR19KIR_HG2393_CTG3_1	KV575258.1
HSCHR11_1_CTG3_1	NW_019805498.1
GJ211857.1	NT_187175.1
GJ212028.2	KI270506.1
HSCHR6_MHC_QBL_CTG1	chr6_GL000255v2_alt
GL000121.2	NT_010194.18
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	chr19_KI270932v1_alt
NT_187602.1	chr15_KI270852v1_alt
GJ212201.1	NT_187285.1
NT_187562.1	chr7_KI270803v1_alt
GL383557.1	NW_003315946.1
GL383566.1	HSCHR17_3_CTG4
GL000134.2	NT_010859.15
KI270760.1	NT_187514.1
KI270868.1	NT_187622.1
HSCHR20_1_CTG2	chr20_KI270869v1_alt
KI270392.1	chrUn_KI270392v1
HSCHR9_1_CTG6	NW_013171804.1
KI270804.1	NT_187558.1
HSCHR1_9_CTG3	NW_018654707.1
KI270599.1	NT_187300.1
HSCHR7_1_CTG1	NT_187558.1
