sampleID	hgncSymbol	seqnames	start	end	width	strand	type	pValue	padjust	psiValue	deltaPsi	counts	totalCounts	meanCounts	meanTotalCounts	nonsplitCounts	nonsplitProportion	nonsplitProportion_99quantile	annotatedJunction	pValueGene	padjustGene	pValueGene_Sample_specific_genes	pValueGene_Test_subset	padjustGene_Sample_specific_genes	padjustGene_Test_subset	HPO_label_overlap	HPO_id_overlap	Ngenes_per_pheno	Nphenos_gene	potentialImpact	causesFrameshift	UTR_overlap	blacklist
HG00150	MRPS6	chr21	35497781	35514707	16927	+	jaccard	0.19491	1	0.92	-0.05	35	38	37.9	39.5	0	0	0	both	0.38982	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	PIGP	chr21	38441925	38444733	2809	-	jaccard	0.16076	1	0.62	-0.11	60	96	65.5	92.8	4	0.04	0.12	both	0.64302	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00150	POFUT2	chr21	46698085	46702263	4179	-	jaccard	0.11321	1	0.65	-0.18	11	17	17.8	22.5	6	0.35	0.35	both	0.33962	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	PRMT2	chr21	48069652	48078656	9005	+	jaccard	0.044185	1	0.33	-0.21	22	67	40.8	76.8	37	0.55	0.55	both	0.48603	1	NA	0.48603	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	RRP1	chr21	45217433	45217511	79	+	jaccard	0.043495	1	0.91	-0.05	150	164	158.8	169.8	14	0.09	0.18	both	0.34796	1	NA	0.34796	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	SPATC1L	chr21	47588573	47604269	15697	-	jaccard	0.25747	1	0.78	-0.09	32	41	41.3	49.7	9	0.22	0.25	both	0.51493	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00150	TEKT4P2	chr21	9966381	9968515	2135	-	jaccard	0.19666	1	0.36	-0.24	9	25	17.2	32.6	16	0.64	0.77	both	0.58998	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00150	U2AF1	chr21	44513360	44514580	1221	-	jaccard	0.10936	1	0.88	-0.05	263	300	266.6	293.6	35	0.12	0.18	both	0.65615	1	NA	0.65615	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	U2AF1L5	chr21	44513360	44514580	1221	-	jaccard	0.10936	1	0.88	-0.05	263	300	266.6	293.6	35	0.12	0.18	both	0.65615	1	NA	0.65615	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00150	URB1	chr21	33690229	33691526	1298	-	jaccard	0.0078126	1	0.73	-0.24	24	33	31.1	34.1	6	0.18	0.2	both	0.125	1	NA	0.125	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00150	WRB	chr21	40759782	40762623	2842	+	jaccard	0.076789	1	0.73	0.26	27	37	15	34	0	0	0.1	end	0.38395	1	NA	0.38395	NA	NA	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00150	WRB-SH3BGR	chr21	40759782	40762623	2842	+	jaccard	0.076789	1	0.73	0.26	27	37	15	34	0	0	0.1	end	0.38395	1	NA	0.38395	NA	1	NA	NA	NA	NA	exonElongation	likely	5'-UTR	FALSE
HG00176	AP000295.1	chr21	34625136	34632901	7766	+	jaccard	0.21417	1	0.8	-0.05	152	190	131.5	162.5	24	0.13	0.18	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00176	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.35834	1	0.59	-0.16	22	37	37.2	57.4	15	0.41	0.75	both	0.35834	1	NA	0.35834	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	AP000317.2	chr21	35497781	35514707	16927	+	jaccard	0.31373	1	0.92	-0.05	24	26	37.9	39.5	0	0	0	both	0.62746	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	AP001469.3	chr21	47671597	47674305	2709	-	jaccard	0.25401	1	0.92	0.08	34	37	40.9	50.5	3	0.08	0.33	both	0.25401	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00176	APP	chr21	27327004	27327940	937	-	jaccard	0.092807	1	0.85	-0.06	106	125	92.8	104.8	19	0.15	0.2	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.35834	1	0.59	-0.16	22	37	37.2	57.4	15	0.41	0.75	both	0.35834	1	NA	0.35834	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	CLDN14	chr21	37898826	37914862	16037	-	jaccard	0.67089	1	0.53	-0.08	9	17	11.5	20.1	2	0.12	0.33	both	0.67089	1	NA	0.67089	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00176	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.21929	1	0.71	0.19	12	17	14.6	30.2	3	0.18	0.21	both	0.21929	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00176	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.21929	1	0.71	0.19	12	17	14.6	30.2	3	0.18	0.21	both	0.21929	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00176	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.21929	1	0.71	0.19	12	17	14.6	30.2	3	0.18	0.21	both	0.21929	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00176	FP565260.2	chr21	45553721	45553983	263	+	jaccard	0.48769	1	0.83	0.05	154	185	121.7	146.7	31	0.17	0.43	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00176	GATD3A	chr21	45553721	45553983	263	+	jaccard	0.48769	1	0.83	0.05	154	185	121.7	146.7	31	0.17	0.43	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00176	GATD3B	chr21	45553721	45553983	263	+	jaccard	0.48769	1	0.83	0.05	154	185	121.7	146.7	31	0.17	0.43	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00176	HSPA13	chr21	15750734	15753523	2790	-	jaccard	0.29947	1	0.98	0.05	56	57	33.2	37	1	0.02	0.27	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00176	IFNAR2	chr21	34625136	34632901	7766	+	jaccard	0.21417	1	0.8	-0.05	152	190	131.5	162.5	24	0.13	0.18	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00176	MCM3AP	chr21	47663637	47664720	1084	-	jaccard	0.072819	1	0.79	-0.09	52	66	62.9	73.3	14	0.21	0.21	both	0.50974	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	MRPS6	chr21	35497781	35514707	16927	+	jaccard	0.31373	1	0.92	-0.05	24	26	37.9	39.5	0	0	0	both	0.62746	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	PIGP	chr21	38438013	38439561	1549	-	jaccard	0.14871	1	0.89	0.06	91	102	82.8	99.9	9	0.09	0.22	both	0.59483	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00176	PKNOX1	chr21	44448985	44449999	1015	+	jaccard	0.19232	1	0.82	-0.12	14	17	18.1	20.3	3	0.18	0.21	both	0.76929	1	NA	0.76929	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00176	POFUT2	chr21	46685551	46687504	1954	-	jaccard	0.1596	1	0.83	0.17	20	24	13.8	23.3	1	0.04	0.35	both	0.47879	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00176	PRMT2	chr21	48063552	48064217	666	+	jaccard	0.080457	1	0.74	-0.12	52	70	67	80.7	18	0.26	0.26	both	0.88503	1	NA	0.88503	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00176	RRP1	chr21	45211314	45212552	1239	+	jaccard	0.034115	1	0.84	-0.1	62	74	108.3	116.6	12	0.16	0.16	both	0.27292	1	NA	0.27292	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00176	SLC19A1	chr21	46952063	46957684	5622	-	jaccard	0.33221	1	0.31	-0.15	5	16	13.4	32.2	4	0.25	0.25	both	0.99663	1	NA	0.99663	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	SPATC1L	chr21	47588573	47604269	15697	-	jaccard	0.32166	1	0.95	0.08	41	43	41.3	49.7	2	0.05	0.25	both	0.64332	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00176	TEKT4P2	chr21	9908433	9909046	614	-	jaccard	0.089943	1	0.67	0.21	26	39	15.4	44.7	13	0.33	0.73	both	0.26983	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00176	URB1	chr21	33687411	33688776	1366	-	jaccard	0.11709	1	0.83	-0.14	15	18	21.6	22.9	3	0.17	0.16	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00176	WRB	chr21	40752413	40762623	10211	+	jaccard	0.09886	1	0.73	0.24	22	30	17.9	34	0	0	0.1	both	0.4943	1	NA	0.4943	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00176	WRB-SH3BGR	chr21	40752413	40762623	10211	+	jaccard	0.09886	1	0.73	0.24	22	30	17.9	34	0	0	0.1	both	0.4943	1	NA	0.4943	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
