"Feature","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM","KEGG","HMDB"
"N-acetylglycine","543-24-8;","Amino acid","Glycine, serine and threonine metabolism",27710,"GC/MS",1396.4,143.9,"10972",NA,"HMDB00532"
"N-acetylisoleucine",NA,"Amino acid","Valine, leucine and isoleucine metabolism",33967,"LC/MS Pos",3370,174.1,"7036275",NA,NA
"N-acetylleucine","1188-21-2;","Amino acid","Valine, leucine and isoleucine metabolism",1587,"LC/MS Pos",3444,174.1,"70912","C02710","HMDB11756"
"N-acetylmethionine","65-82-7;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",1589,"LC/MS Pos",2588,192.1,"448580","C02712","HMDB11745"
"N-acetylneuraminate","131-48-6;","Carbohydrate","Aminosugars metabolism",32377,"LC/MS Neg",695,308.1,NA,"C00270","HMDB00230"
"N-acetylornithine","6205-08-9;","Amino acid","Urea cycle; arginine-, proline-, metabolism",15630,"LC/MS Pos",875,175.2,"439232","C00437","HMDB03357"
"N-acetylphenylalanine","2018-61-3;","Amino acid","Phenylalanine & tyrosine metabolism",33950,"LC/MS Neg",2590,206.2,"74839","C03519","HMDB00512"
"N-acetylserine","97-14-3;","Amino acid","Glycine, serine and threonine metabolism",37076,"GC/MS",1526,218,"65249",NA,"HMDB02931"
"N-acetylthreonine",NA,"Amino acid","Glycine, serine and threonine metabolism",33939,"LC/MS Neg",846,160.1,"152204","C01118",NA
"N-acetyltryptophan","1218-34-4;","Amino acid","Tryptophan metabolism",33959,"LC/MS Neg",2650,245.2,"700653","C03137",NA
"N-acetyltyrosine","537-55-3 ;","Amino acid","Phenylalanine & tyrosine metabolism",32390,"LC/MS Neg",1677,222.2,"68310",NA,"HMDB00866"
"N-acetylvaline","96-81-1;","Amino acid","Valine, leucine and isoleucine metabolism",1591,"LC/MS Pos",2654,160.1,"66789",NA,"HMDB11757"
"nervonate (24:1n9)","506-37-6 ;","Lipid","Long chain fatty acid",41820,"GC/MS",2201,423.4,"5281120","C08323","HMDB02368"
"nicotinamide","98-92-0;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",594,"LC/MS Pos",1267,123.1,"936","C00153","HMDB01406"
"nicotinamide adenine dinucleotide (NAD+)","53-84-9;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",5278,"LC/MS Pos",1370,664,"5892; 5893; 925","C00003","HMDB00902"
"nicotinamide adenine dinucleotide reduced (NADH)","58-68-4 ;606-68-8;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",31475,"LC/MS Neg",1554,664.1,"439153","C00004","HMDB01487"
"nicotinamide ribonucleotide (NMN)","1094-61-7;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",22152,"LC/MS Pos",886,335.1,"14180","C00455","HMDB00229"
"nicotinamide riboside*","1341-23-7;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",33013,"LC/MS Pos",955,255.1,NA,NA,NA
"nicotinate","59-67-6;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",1504,"LC/MS Neg",1221,122.1,"938","C00253","HMDB01488"
"N-methylglutamate","35989-16-3;","Amino acid","Glutamate metabolism",31532,"GC/MS",1665,260.2,"439377","C01046",NA
"octanoylcarnitine","3671-77-0;","Lipid","Carnitine metabolism",33936,"LC/MS Pos",4100,288.3,"123701",NA,NA
"oleate (18:1n9)","112-80-1;","Lipid","Long chain fatty acid",1359,"GC/MS",1984.4,339.2,"445639","C00712","HMDB00207"
"oleoylcarnitine",NA,"Lipid","Carnitine metabolism",35160,"LC/MS Pos",5202,426.4,NA,NA,"HMDB05065"
"ophthalmate","495-27-2;","Amino acid","Glutathione metabolism",34592,"LC/MS Neg",920,288.1,"7018721",NA,"HMDB05765"
"ornithine","3184-13-2;","Amino acid","Urea cycle; arginine-, proline-, metabolism",1493,"GC/MS",1763.8,141.9,"6262","C00077","HMDB03374"
"p-acetamidophenylglucuronide","120595-80-4;","Xenobiotics","Drug",33423,"LC/MS Neg",1377,326.1,"4022661",NA,"HMDB10316"
"palmitate (16:0)","57-10-3;","Lipid","Long chain fatty acid",1336,"LC/MS Neg",5619,255.3,"985","C00249","HMDB00220"
"palmitoleate (16:1n7)","373-49-9;","Lipid","Long chain fatty acid",33447,"LC/MS Neg",5477,253.3,"445638","C08362","HMDB03229"
"palmitoyl sphingomyelin",NA,"Lipid","Sphingolipid",37506,"GC/MS",2524,311.3,"9939941",NA,NA
"palmitoylcarnitine","6865-14-1;","Lipid","Carnitine metabolism",22189,"LC/MS Pos",5179,400.4,"461",NA,NA
"pantothenate","137-08-6;","Cofactors and vitamins","Pantothenate and CoA metabolism",1508,"LC/MS Pos",2218,220.1,"6613","C00864","HMDB00210"
"paroxetine","110429-49-8;","Xenobiotics","Drug",40461,"LC/MS Pos",4222,330.2,"43815","D02362,C07415",NA
"p-cresol sulfate","3233-57-7;","Amino acid","Phenylalanine & tyrosine metabolism",36103,"LC/MS Neg",2896,187.1,"2879","C01468",NA
"pelargonate (9:0)","112-05-0;","Lipid","Medium chain fatty acid",12035,"LC/MS Neg",4847,157.2,"8158","C01601","HMDB00847"
"penicillin G","69-57-8;","Xenobiotics","Drug",37468,"LC/MS Pos",3314,335.2,"5904","C05551",NA
"pentadecanoate (15:0)","1002-84-2;","Lipid","Long chain fatty acid",1361,"GC/MS",1853.5,299.2,"13849","C16537","HMDB00826"
"phenol red","143-74-8;","Xenobiotics","Chemical",36817,"LC/MS Neg",3650,353.1,"4766","C12600",NA
"phenol sulfate","937-34-8;","Amino acid","Phenylalanine & tyrosine metabolism",32553,"LC/MS Neg",2150,173.1,"74426","C02180",NA
"phenylacetylglutamine","28047-15-6;","Amino acid","Phenylalanine & tyrosine metabolism",35126,"LC/MS Pos",2868,265.2,"306137","C04148","HMDB06344"
"phenylalanine","63-91-2;","Amino acid","Phenylalanine & tyrosine metabolism",64,"LC/MS Pos",2056,166.1,"6140","C00079","HMDB00159"
"phenylalanylalanine","3918-87-4;","Peptide","Dipeptide",41374,"LC/MS Pos",2047.6,237.1,"5488196",NA,NA
"phenylalanylarginine","1238-09-1;","Peptide","Dipeptide",41487,"LC/MS Pos",1553,322.2,"10268029",NA,NA
"phenylalanylaspartate","22828-05-3;","Peptide","Dipeptide",41419,"LC/MS Pos",1901,281.1,"6992643",NA,NA
"phenylalanylglutamate","3617-45-6;","Peptide","Dipeptide",41432,"LC/MS Pos",2005,295.2,"151134",NA,NA
"phenylalanylglycine","721-90-4;","Peptide","Dipeptide",41370,"LC/MS Neg",2460.8,221.1,"98207",NA,NA
"phenylalanylleucine","3303-55-7;","Peptide","Dipeptide",40192,"LC/MS Pos",3252,279.2,"4078229",NA,NA
"phenylalanylmethionine","15080-84-9;","Peptide","Dipeptide",41436,"LC/MS Pos",2772,297.2,NA,NA,NA
"phenylalanylphenylalanine","2577-40-4;","Peptide","Dipeptide",38150,"LC/MS Pos",3317,313.2,"6993089",NA,NA
"phenylalanylproline","7669-65-0;","Peptide","Dipeptide",41392,"LC/MS Neg",3170,261.2,"7020641",NA,NA
"phenylalanylserine","16053-39-7;","Peptide","Dipeptide",40016,"LC/MS Pos",1808,253.1,"193508",NA,NA
"phenylalanyltryptophan","24587-41-5;","Peptide","Dipeptide",41377,"LC/MS Pos",3349,352.2,NA,NA,NA
"phenylalanyltyrosine","17355-18-9;","Peptide","Dipeptide",41527,"LC/MS Pos",2630,329.2,NA,NA,NA
"phenylalanylvaline","3918-90-9;","Peptide","Dipeptide",41393,"LC/MS Pos",2570,265.1,"7359121",NA,NA
"phosphate","7664-38-2 ;","Energy","Oxidative phosphorylation",11438,"GC/MS",1307.7,298.9,"1061","C00009","HMDB01429"
"phosphoenolpyruvate (PEP)","10526-80-4;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",597,"GC/MS",1595.4,369,"1005","C00074","HMDB00263"
"phosphoethanolamine","1071-23-4;","Lipid","Glycerolipid metabolism",1600,"LC/MS Neg",644,140.1,"1015","C00346","HMDB00224"
"phytosphingosine","554-62-1;","Lipid","Sphingolipid",1510,"LC/MS Pos",5189,318.4,NA,"C12144","HMDB04610"
"pipecolate","4043-87-2;","Amino acid","Lysine metabolism",1444,"LC/MS Pos",1120,130.1,"849","C00408","HMDB00070"
"piperine","94-62-2;","Xenobiotics","Food component/Plant",33935,"LC/MS Pos",5136,286.2,"638024","C03882",NA
"pivaloylcarnitine",NA,"Xenobiotics","Drug",35432,"LC/MS Pos",2370,246.2,"126894",NA,NA
"pregnanediol-3-glucuronide","1852-49-9;","Lipid","Sterol/Steroid",40708,"LC/MS Neg",5136.9,495.4,"123796",NA,NA
"pregnen-diol disulfate*",NA,"Lipid","Sterol/Steroid",32562,"LC/MS Neg",3886,238.3,NA,"C05484","HMDB04025"
"pro-hydroxy-pro","18684-24-7;","Peptide","Dipeptide",35127,"LC/MS Pos",960,229.2,"11902892",NA,"HMDB06695"
"proline","147-85-3;","Amino acid","Urea cycle; arginine-, proline-, metabolism",1898,"LC/MS Pos",796,116.1,"145742","C00148","HMDB00162"
"prolylglycine","2578-57-6;","Peptide","Dipeptide",40703,"LC/MS Pos",875,173.1,"6426709",NA,NA
"prolylmethionine","52899-08-8;",NA,NA,41386,"LC/MS Pos",1736.8,247.1,"5250073; 5233577",NA,NA
"propionylcarnitine","17298-37-2 ;","Lipid","Fatty acid metabolism (also BCAA metabolism)",32452,"LC/MS Pos",1589,218.2,"107738","C03017","HMDB00824"
"prostaglandin A2","13345-50-1;","Lipid","Eicosanoid",19761,"LC/MS Neg",4875,333.3,"5280880","C05953","HMDB02752"
"prostaglandin E2","363-24-6;","Lipid","Eicosanoid",7746,"LC/MS Neg",4562,351.3,"5280360","C00584","HMDB01220"
"pseudouridine","1445-07-4;","Nucleotide","Pyrimidine metabolism, uracil containing",33442,"LC/MS Neg",1104,243.1,NA,"C02067","HMDB00767"
"putrescine","110-60-1;","Amino acid","Polyamine metabolism",1408,"GC/MS",1705.8,174,NA,"C00134","HMDB01414"
"pyridoxal","65-22-5;","Cofactors and vitamins","Pyridoxal metabolism",1651,"LC/MS Pos",1210,168.1,"1050","C00250","HMDB01545"
"pyridoxate","82-82-6 ;","Cofactors and vitamins","Vitamin B6 metabolism",31555,"LC/MS Neg",2210,182.1,"6723","C00847","HMDB00017"
"pyroglutamine*",NA,"Amino acid","Glutamate metabolism",32672,"LC/MS Pos",764,129.2,"134508",NA,NA
"pyrophosphate (PPi)","1466-09-3;","Energy","Oxidative phosphorylation",2078,"GC/MS",1642.3,451,"644102","C00013","HMDB00250"
"quebrachitol","642-38-6;","Xenobiotics","Food component/Plant",37088,"GC/MS",1797,217,NA,NA,NA
"quinate","77-95-2;","Xenobiotics","Food component/Plant",18335,"GC/MS",1793,345.1,NA,"C00296","HMDB03072"
"quinidine","56-54-2;","Xenobiotics","Drug",39766,"LC/MS Pos",2712.6,325.3,"441074",NA,NA
"quinolinate","89-00-9;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",1899,"GC/MS",1697.7,296.1,"1066","C03722","HMDB00232"
"ranitidine","66357-59-3;","Xenobiotics","Drug",38595,"LC/MS Pos",1967,315.1,"3001055","D00422","HMDB01930"
"ribitol","488-81-3;","Carbohydrate","Nucleotide sugars, pentose metabolism",15772,"GC/MS",1692.4,217,NA,"C00474","HMDB00508"
"riboflavin (Vitamin B2)","83-88-5;","Cofactors and vitamins","Riboflavin metabolism",1827,"LC/MS Pos",3111,377.2,"493570","C00255","HMDB00244"
"ribose","50-69-1;","Carbohydrate","Nucleotide sugars, pentose metabolism",12080,"GC/MS",1639.2,204,"5779","C00121","HMDB00283"
"ribulose","488-84-6;","Carbohydrate","Nucleotide sugars, pentose metabolism",35855,"GC/MS",1662,306.1,"12358756","C00309","HMDB00621,HMDB03371"
"saccharopine","997-68-2;","Amino acid","Lysine metabolism",1495,"GC/MS",2082.1,357.2,"160556","C00449","HMDB00279"
"S-adenosylhomocysteine (SAH)","979-92-0;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",15948,"LC/MS Neg",1821,383.1,NA,"C00021","HMDB00939"
"S-adenosylmethionine (SAM)","24346-00-7;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",15915,"LC/MS Pos",676,399.1,NA,NA,NA
"sarcosine (N-Methylglycine)","107-97-1;","Amino acid","Glycine, serine and threonine metabolism",1516,"GC/MS",1182.9,116,"1088","C00213","HMDB00271"
"scyllo-inositol","488-59-5;","Lipid","Inositol metabolism",32379,"GC/MS",1893.8,318.2,NA,"C06153","HMDB06088"
"sedoheptulose-7-phosphate","2646-35-7;","Carbohydrate","Nucleotide sugars, pentose metabolism",35649,"GC/MS",2070,691.35,"616","C05382","HMDB01068"
"serine","56-45-1;","Amino acid","Glycine, serine and threonine metabolism",1648,"GC/MS",1389.1,204,"5951; 617","C00065","HMDB03406"
"serylisoleucine*",NA,"Peptide","Dipeptide",40193,"LC/MS Pos",2021,219.2,NA,NA,NA
"serylleucine","6665-16-3;","Peptide","Dipeptide",40066,"LC/MS Pos",2106,219.2,NA,NA,NA
"serylphenyalanine",NA,"Peptide","Dipeptide",40054,"LC/MS Pos",2348,253.2,NA,NA,NA
"serylvaline","51782-06-0;","Peptide","Dipeptide",42058,"LC/MS Pos",1501,205.1,NA,NA,NA
"S-methylcysteine","1187-84-4;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",40262,"GC/MS",1447.8,162.1,"24417",NA,"HMDB02108"
"sorbitol","6706-59-8;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15053,"GC/MS",1843,319.1,"5780","C00794","HMDB00247"
"sorbitol 6-phosphate","108392-12-7;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",15699,"LC/MS Neg",613,261.1,NA,"C01096","HMDB05831"
"spermidine","124-20-9;","Amino acid","Polyamine metabolism",485,"LC/MS Pos",533,146.2,"1102","C00315","HMDB01257"
"spermine","71-44-3;","Amino acid","Polyamine metabolism",603,"LC/MS Pos",506,203.2,"1103","C00750","HMDB01256"
"sphinganine","3102-56-5;","Lipid","Sphingolipid",17769,"LC/MS Pos",5175,302.3,"91486; 46878428","C00836","HMDB00269"
"sphingosine","123-78-4;","Lipid","Sphingolipid",17747,"LC/MS Pos",5197,300.2,"5280335; 46878424","C00319","HMDB00252"
"squalene","111-02-4;","Lipid","Sterol/Steroid",1518,"GC/MS",2205,69,"638072","C00751","HMDB00256"
"stachydrine","4136-37-2;","Xenobiotics","Food component/Plant",34384,"LC/MS Pos",860,144.1,"115244","C10172","HMDB04827"
"stearate (18:0)","57-11-4;","Lipid","Long chain fatty acid",1358,"LC/MS Neg",5886,283.4,"5281","C01530","HMDB00827"
"stearidonate (18:4n3)","111174-40-4 ;","Lipid","Long chain fatty acid",33969,"LC/MS Neg",5381,275.3,"5312508","C16300","HMDB06547"
"stearoylcarnitine","18822-91-8;","Lipid","Carnitine metabolism",34409,"LC/MS Pos",5300,428.4,NA,NA,"HMDB00848"
"streptomycin","3810-74-0;","Xenobiotics","Drug",39872,"LC/MS Pos",543.3,300.8,"19648",NA,NA
"succinate","110-15-6;","Energy","Krebs cycle",1437,"GC/MS",1348,247,"1110","C00042","HMDB00254"
"succinylcarnitine",NA,"Energy","Krebs cycle",37058,"LC/MS Pos",1401,262.1,NA,NA,NA
"tartarate","87-69-4;6106-24-7;","Xenobiotics","Food component/Plant",15336,"GC/MS",1626.1,292.1,"875","C00898","HMDB00956"
"taurine","107-35-7;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",2125,"GC/MS",1616.4,254.1,"1123","C00245","HMDB00251"
"testosterone",NA,"Lipid","Sterol/Steroid",19464,"LC/MS Pos",5119,289.2,"6013","C00535","HMDB00234"
"theobromine","83-67-0;","Xenobiotics","Xanthine metabolism",18392,"LC/MS Pos",2136,181.1,"5429","C07480","HMDB02825"
"threitol","2418-52-2;","Carbohydrate","Nucleotide sugars, pentose metabolism",35854,"GC/MS",1513,217.1,"169019","C16884","HMDB04136"
"threonate","70753-61-6;","Cofactors and vitamins","Ascorbate and aldarate metabolism",27738,"GC/MS",1560.7,292.1,"5460407; 439535; 21145021","C01620","HMDB00943"
"threonine","72-19-5;","Amino acid","Glycine, serine and threonine metabolism",1284,"GC/MS",1412.3,218.1,"6288","C00188","HMDB00167"
"threonylglutamate","54532-73-9;","Peptide","Dipeptide",42067,"LC/MS Pos",819,249.2,NA,NA,NA
"threonylleucine","50299-12-2;","Peptide","Dipeptide",40051,"LC/MS Pos",2204,233.2,"7021827",NA,NA
"threonylmethionine","90729-28-5;","Peptide","Dipeptide",42068,"LC/MS Pos",1641,251.1,NA,NA,NA
"threonylphenylalanine",NA,"Peptide","Dipeptide",31530,"LC/MS Pos",2500,267.2,"4099799; 4099798",NA,NA
"threonylvaline","99032-17-4;","Peptide","Dipeptide",42011,"LC/MS Pos",1574.5,219.2,"7020901",NA,NA
"thymidine","50-89-5;","Nucleotide","Pyrimidine metabolism, thymine containing",39539,"LC/MS Neg",1935,284.8,"5789","C00214","HMDB00273"
"thymine","65-71-4;","Nucleotide","Pyrimidine metabolism, thymine containing",604,"GC/MS",1429.1,255,"1135","C00178","HMDB00262"
"trans-4-hydroxyproline","51-35-4;","Amino acid","Urea cycle; arginine-, proline-, metabolism",1366,"GC/MS",1537,140,"5810; 69248","C01157","HMDB00725"
"trans-urocanate","104-98-3;","Amino acid","Histidine metabolism",607,"LC/MS Pos",1119,139.1,"736715","C00785","HMDB00301"
"triethyleneglycol","112-27-6;","Xenobiotics","Chemical",27743,"LC/MS Pos",1824,168.1,NA,NA,NA
"trigonelline (N'-methylnicotinate)","6138-41-6 ;","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",32401,"LC/MS Pos",757,138.1,"5570",NA,"HMDB00875"
"tryptophan","73-22-3;","Amino acid","Tryptophan metabolism",54,"LC/MS Pos",2445,205.1,"6305","C00078","HMDB00929"
"tryptophan betaine","20671-76-5;","Amino acid","Tryptophan metabolism",37097,"LC/MS Pos",2464,247.1,"442106","C09213",NA
"tryptophylasparagine","175027-11-9;","Peptide","Dipeptide",40661,"LC/MS Pos",1963,319.2,NA,NA,NA
"tryptophylglutamate","36099-95-3;","Peptide","Dipeptide",41401,"LC/MS Pos",2246,334.2,"3634442",NA,NA
"tryptophylleucine","13123-35-8;","Peptide","Dipeptide",40080,"LC/MS Pos",3369,318.2,"323786",NA,NA
"tyrosine","60-18-4;","Amino acid","Phenylalanine & tyrosine metabolism",1299,"LC/MS Pos",1516,182.1,"6057","C00082","HMDB00158"
"tyrosylalanine","730-08-5;","Peptide","Dipeptide",40018,"LC/MS Pos",1589.5,253.2,"5496455; 7020632",NA,NA
"tyrosylglutamine","28252-40-6;","Peptide","Dipeptide",41459,"LC/MS Pos",1437,310.2,NA,NA,NA
"tyrosylglycine","673-05-5;","Peptide","Dipeptide",41375,"LC/MS Pos",1596.8,239.1,"259323",NA,NA
"tyrosylhistidine","3788-44-1;","Peptide","Dipeptide",41464,"LC/MS Pos",903,319.2,NA,NA,NA
"tyrosylleucine","17355-10-1;","Peptide","Dipeptide",40031,"LC/MS Pos",2656,295.2,"87071; 7009561",NA,NA
"tyrosyllysine","54925-88-1;","Peptide","Dipeptide",40656,"LC/MS Pos",949.1,310.2,NA,NA,NA
"tyrosylphenylalanine","17355-11-2;","Peptide","Dipeptide",41492,"LC/MS Pos",2890,329.2,"3421919",NA,NA
"tyrosyltyrosine","1050-28-8;","Peptide","Dipeptide",40667,"LC/MS Pos",2177,345.2,"70590; 5057430",NA,NA
"tyrosylvaline","17355-09-8;","Peptide","Dipeptide",41424,"LC/MS Pos",2041,281.2,"7009560; 7009559",NA,NA
"undecanedioate","1852-04-6;","Lipid","Fatty acid, dicarboxylate",35671,"LC/MS Neg",2376,215.1,"15816",NA,"HMDB00888"
"uracil","66-22-8;","Nucleotide","Pyrimidine metabolism, uracil containing",605,"GC/MS",1370.4,241,"1174","C00106","HMDB00300"
"urate","69-93-2;120K5305;","Nucleotide","Purine metabolism, urate metabolism",1604,"LC/MS Neg",769,167.1,NA,"C00366","HMDB00289"
"urea","57-13-6;","Amino acid","Urea cycle; arginine-, proline-, metabolism",1670,"GC/MS",1223.9,171,"1176","C00086","HMDB00294"
"uridine","58-96-8;","Nucleotide","Pyrimidine metabolism, uracil containing",606,"LC/MS Neg",1430,243.1,"6029","C00299","HMDB00296"
"uridine monophosphate (5' or 3')",NA,"Nucleotide","Pyrimidine metabolism, uracil containing",39879,"LC/MS Pos",1079,325,NA,NA,NA
"valerylcarnitine",NA,"Lipid","Fatty acid metabolism",34406,"LC/MS Pos",2584,246.2,"16226475; 53481619",NA,"HMDB13128"
"valine","72-18-4;","Amino acid","Valine, leucine and isoleucine metabolism",1649,"LC/MS Pos",1040,118.1,"6287","C00183","HMDB00883"
"valylalanine","27493-61-4;","Peptide","Dipeptide",41518,"LC/MS Pos",1278.6,189.1,"6992637",NA,NA
"valylarginine","37682-75-0;","Peptide","Dipeptide",42072,"LC/MS Pos",794.2,274.2,"4266827",NA,NA
"valylasparagine","66170-00-1;","Peptide","Dipeptide",40727,"LC/MS Neg",1334,230.2,"10357; 439193","C00252","HMDB02923"
"valylaspartate","20556-16-5;","Peptide","Dipeptide",40650,"LC/MS Pos",1073.3,233.1,"7009608",NA,NA
"valylglutamate","3062-07-5;","Peptide","Dipeptide",32454,"LC/MS Pos",1346,247.1,"7009623",NA,NA
"valylglutamine","42854-54-6;","Peptide","Dipeptide",42079,"LC/MS Pos",1102,246.2,"7016044",NA,NA
"valylglycine","686-43-1;","Peptide","Dipeptide",40475,"LC/MS Pos",1330,175.1,"136487",NA,NA
"valylhistidine","13589-07-6;","Peptide","Dipeptide",40680,"LC/MS Neg",1629.1,253.2,NA,NA,NA
"valylisoleucine","20556-14-3;","Peptide","Dipeptide",40050,"LC/MS Pos",2365,231.2,"7010531",NA,NA
"valylleucine",NA,"Peptide","Dipeptide",39994,"LC/MS Pos",2503.3,231.2,"352039",NA,NA
"valyllysine","22677-62-9;","Peptide","Dipeptide",41384,"LC/MS Neg",1601.8,244.2,"168058",NA,NA
"valylmethionine","14486-09-0;","Peptide","Dipeptide",40674,"LC/MS Pos",2000,249.1,"6993038",NA,NA
"valylphenylalanine","3918-92-1;","Peptide","Dipeptide",40688,"LC/MS Pos",2790,265.2,"6993119",NA,NA
"valylserine","15388-94-8;","Peptide","Dipeptide",40716,"LC/MS Neg",1332,203.2,"139506",NA,NA
"valyltryptophan","24587-37-9;","Peptide","Dipeptide",40649,"LC/MS Pos",2830,304.2,"168182",NA,NA
"valyltyrosine","3061-91-4;","Peptide","Dipeptide",40697,"LC/MS Pos",2000,281.2,"7009554",NA,NA
"valylvaline","3918-94-3;","Peptide","Dipeptide",40728,"LC/MS Pos",1842,217.2,"107475",NA,NA
"vanillylmandelate (VMA)","55-10-7;","Amino acid","Phenylalanine & tyrosine metabolism",1567,"GC/MS",1806.8,297.1,"1245","C05584","HMDB00291"
"venlafaxine","93413-69-5;","Xenobiotics","Drug",38623,"LC/MS Pos",3700,278.2,"5656","C07187","HMDB05016"
"VGAHAGEYGAEALER*",NA,"Peptide","Polypeptide",35211,"LC/MS Pos",2542,765.8,NA,NA,NA
"xanthine","69-89-6;","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing",3147,"LC/MS Pos",1430,153.1,"1188","C00385","HMDB00292"
"xanthosine","146-80-5;","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing",15136,"LC/MS Pos",1785,285,"64959","C01762","HMDB00299"
"xylitol","87-99-0;","Carbohydrate","Nucleotide sugars, pentose metabolism",41319,"GC/MS",1677.6,217,"6912","C00379","HMDB00568"
"xylonate","73686-31-7;","Carbohydrate","Nucleotide sugars, pentose metabolism",35638,"GC/MS",1722,292,"6602431","C05411",NA
"xylose","609-06-3;","Carbohydrate","Nucleotide sugars, pentose metabolism",15835,"GC/MS",1723.9,204,"135191","C00181","HMDB00098"
"xylulose","551-84-8;","Carbohydrate","Nucleotide sugars, pentose metabolism",18344,"GC/MS",1668,306.1,"5289590","C00310","HMDB00654"
